Type of Event,Event Verticals,Name of Event,Dates,Hours,Date of Last Year's Event,Date of Next Year's Event,Country,City,Venue,# Atendees of Last Event,# Exhibitors of Last Event,URL,Phone Number,E-mail,About the Event,Exhibitors,Attendees,Exhibitor Info,Link to Photos,Link to Videos,Facebook,Instagram,Linkedin,Twitter
Trade Show & Conference,Automotive,Automotive Aftermarket Products Expo (AAPEX),05 Nov 2019-07 Nov 2019,09:00 AM - 05:00 PM,30 Oct-1 Nov 2018,3-5 Nov 2020,USA,Las Vegas, Sands Expo & Convention Center,48000,2500,https://www.aapexshow.com,+1 708 226 1300,billjr@aapexshow.com,"AAPEX is a trade-only event for the automotive aftermarket

Automotive Aftermarket Products Expo (AAPEX) has been the premier global event representing global aftermarket auto parts industry. The show will showcase products like automotive lighting systems, sound moderators, cooling systems, Friction and Brake circuits, Engine and Transmission parts, Gear systems, Automotive Hand tools etc.

https://www.aapexshow.com/about/","AMS Automotive,APA Engineering Pvt. Ltd.,Bosch,Engine Builders Association (AERA),Hitachi Automotive Systems Americas Inc,Hyundai Motor Group,Lumax LLC,Philips Automotive,Ravin Enterprises DMCC,Sigma Glogal Inc.,US Global Program,US Motor Works LLC,Buffalo Industries LLC,CRC Industries Inc.,Ecogard,Intertek,Jin Dai Auto Supplies Co. Ltd.,Kymyo Industrial Co. Ltd.,North America Auto Parts,Robert Bosch LLC","Eligibility Criteria: Open to all automotive industry companies except any non-automotive affiliated companies, modeling agencies, exhibiton industry affiliates, insurance agencies, packaging companies, freight providers, transportation companies, accounting firms, and attorneys. Attendees must provide proof 
Fees: Attendee Registration Online (through October 11) - $40
Attendee Registration by Fax or Mail (through October 11) - $65
Attendee Registration Online (Starting October 12) or Onsite - $90
Attendee Registration by Fax or Mail (Starting October 12) - $115
Non-Exhibiting Manufacturers/Suppliers/Importers/Exporters - $200
Lost or forgotten badges reprinted onsite (1x maximum) - $100
Lost or forgotten badges reprinted onsite (1x maximum) - $200
Attendee Registration","Sponsorship Fees: Vary between $600 - $100.000
Exhibitor Fees: Auto Care Association, MEMA/AASA and/or NARSA members - $25 per sq ft
Non-members - $41 per sq ft
Corner In-line booth - +$270
Peninsula booth (minimum 20’ x 20’) - +$540
Island booth (minimum 20’ x 20’) - +$4.100
Exhibitor Registration",https://www.aapexshow.com/media/photo-gallery/,,https://www.facebook.com/AAPEXShow/,https://www.instagram.com/aapexshow/,https://www.linkedin.com/company/aapex/,https://twitter.com/AAPEXShow
Trade Show,Automotive,Korea Automotive Industry Exhibition - KOAA Show,16 Oct 2019-18 Oct 2019,10:00 AM - 05:00 PM,17-19 Oct  2018,Oct-20,South Korea,Incheon,ConvensiA Convention Center,9236,311,http://www.koaashow.com/eng,+82 31 433 0023,koaashow@koaashow.com,"Biggest automotive-related exhibition in Korea with the highest number of participants

Korea Automotive Industry Exhibition is a one of the biggest automotive-related exhibition in Korea with the highest number of participants and car spare parts and workshop needs specialized exhibition. The international exhibitors show their comprehensive and innovative range of automotive accessories, workshop equipment, auto-electronic, and technical systems.

http://www.koaashow.com/eng/koaashow/profile.asp","Interparts Co. Ltd.,Korea Institute of Machinery & Materials,Baeksan Industry,Daeji Metal Co. Ltd.,Daeyong Industry Co.,Inficon,Powertech Korea,Sammi Metal Products,Carmex Parts Inc.,Jeonwood Precision Co. Ltd.,JK Korea Co. Ltd.,Korea Autoparts Co. Ltd.,Innornc Co. Ltd.,Woosung A.D.M. Co. Ltd.,SIS Corporation,SQ International,PNK Hitech Co. Ltd.,Auto Clover Co. Ltd.,Best Parts Corporation,Gahbin Corporation","Eligibility Criteria: Open to industry professionals
Fees: Free
Attendee Registration","Sponsorship Fees: Vary between $300 - $3000
Exhibitor Fees: Space Only - $2.820/booth (12 sq m)
Shell Scheme - $3.200/booth (12 sq m)
Shell Scheme (National Pavilion) - $3.400/booth (12 sq m)
Additional technical service fees are available.
Exhibitor Registration",,,,,,
Trade Show,Automotive,China International Tire Expo - CITEXPO,19 Aug 2019-21 Aug 2019,09:30 AM - 05:00 PM (19 Aug 2019-20 Aug 2019)|09:30 AM - 03:00 PM (21 Aug 2019),20-22 Aug 2018,Aug-20,China,Shanghai,Shanghai World Expo Exhibition and Convention Center,12000,350,http://www.citexpo.com.cn/en,+86 10 8589 8181,citexpo@reliable.org.cn,"The Biggest Tire and Wheel Trade Show in the Asia-Pacific Region

The aim of organizing this exhibition is to deliver a high quality and effective trade platform for the worldwide tire and wheel (rim) industry. The exhibit profile of CITEXPO not only covers the producing material and machinery for tire and wheel (rim), but also involved a wide variety of tire and wheel (rim) products, aftermarket services and related equipment. The abundant product series make CITEXPO to become one of the most successful trade show for tire and wheel rim industry chain in the worldwide.

http://www.citexpo.com.cn/en/about_citexpo.php","AC Wheel (Foshan) Co. Ltd.,Evergreen Tire Co. Ltd.,Genco Industrial Group Co. Ltd.,Crown Tyre Industrial Co. Ltd.,China Tyres Distribution Ltd.,Alpine Tyre Group Co. Ltd.,Davanti Tyres Limited,Koryo Industrial Co. Ltd.,O Green Group,Powertrac Tyre Co. Ltd.,Shanghai Katochi Tire Co. Ltd.,The Wheel Group,Best Choice International Trade Co. Ltd.,Aufine Group Co. Ltd.,Ocsen Industrial Company Limited,Ningbo Gometal Autoparts Co. Ltd.,Kinforest Tyre Co. Ltd.,Anhui Youhe Technology Co. Ltd.,Changzhou Sanghao Vehicle Fitting Co. Ltd.,Hopeway Holdings Ltd.","Eligibility Criteria: Open to industry professionals
Fees: Free
Attendee Registration","Sponsorship Fees: Contact required for pricing info
Exhibitor Fees: Standard booth - $405 per sq m
9 sq m standard booth - $3645
Raw space (min 36 sq m) - $370 per sq m
Exhibitor Registration",http://www.citexpo.com.cn/en/about_citexpo/gallery.php,https://www.youtube.com/channel/UCmtlaFHDWKfymwiV261wSOw,https://www.facebook.com/Chinatirexpo,,https://www.linkedin.com/company/china-international-tire-expo-citexpo-/,https://twitter.com/Citexpo2018
Trade Show & Conference,Automotive,Canadian International Autoshow,14 Feb 2020-23 Feb 2020,12:00 PM - 10:00 PM (14 Feb 2020)|10:30 AM - 10:00 PM (15 Feb 2020-22 Feb 2020),15-24 Feb 2019,Feb-21,Canada,Toronto, Metro Toronto Convention Centre,360000,126,https://www.autoshow.ca/,+1 905 940 2800,cias@autoshow.ca,"The Largest Automotive Event in the Country

The Canadian International Autoshow (CIAS) is the largest automotive event in the country, the features a display of the product from Automotive, Bicycles, Rickshaw & Spares, Electronics & Electrical Goods, Sporting Goods, Toys & Games, Business Services, Misc. & Exhibition, Logistics & Transportation industries.

https://www.autoshow.ca/questions/#faq","Honda,Hyundai,Volkswagen,Tesla,BMW,Autostrada,Garage Living,Subaru,Mitsubishi Motors,Nissan,Devel Sixteen,Bentley,Alfa Romeo,Ford,Chevrolet,Toyota,The Lincoln Motor Company,Mercedes,Audi,Volvo","Eligibility Criteria: Open to industry professionals and consumers
Fees: Online registration (Youth visitors) - 16 CAD ($12,24)
Online registration (Adults) - 25 CAD ($19,13)
Online registation (Family pass, includes 2 adults & 2 children (ages 7-12) - 50 CAD ($38,25)
Onsite registration (Seniors) - 16 CAD ($12,24)
Online registration (Ages 6 & Under) - Free
Online registration (Ages 7-12) - 7 CAD ($5,36)
Attendee Registration","Sponsorship Fees: Contact required to request pricing
Exhibitor Fees: Contact required to request booth pricing. Costs for space varies depending on location, size and content.
Exhibitor Registration",https://www.autoshow.ca/gallery/,https://www.youtube.com/channel/UCP4rVer5Gn-XnR0aP8Bd1Bw?view_as=subscriber,https://www.facebook.com/autoshowcanada/,https://www.instagram.com/cdnintlautoshow/,,https://twitter.com/autoshowcanada
Trade Show & Conference,Automotive,Automechanika Istanbul,2 Apr 2020-5 Apr 2020,10:00 AM - 06:00 PM (2 Apr 2020-4 Apr 2020)|10:00 AM - 05:00 PM (5 Apr 2020),4-7 Apr 2019,Apr-21,Turkey,Istanbul,Tuyap Exhibition and Convention Center,48737,1397,https://automechanika-istanbul.tr.messefrankfurt.com/istanbul/en.html,+90 216 384 50 50,info@turkey.messefrankfurt.com,"Turkey's Leading International Trade Fair for the Automotive Industry

Get connected with the future of the automotive service industry at the Turkey's leading trade fair Automechanika Istanbul. As a meeting place for the industry, dealership trade and maintenance and repair segment, it provides a major platform for business and technological knowledge transfer.

https://automechanika-istanbul.tr.messefrankfurt.com/istanbul/en/facts-figures.html","4U Automotive International,Apach Industrial Co. Ltd.,Black Horse FAS D.O.O,Boss Deluxe Otomotiv,Changzhou Yunji Auto Parts Co. Ltd.,Yüksel Otomotiv,Yurtsan Inc.,Vertex Automotive Systems,Uludag Automotive Industry Exporters' Association (OIB),Tesla Blatna A.S.,Ada Group,AutoTechteile GmbH,Coskun Otomotiv (Hileks),Dielektrik UAB,Elcom,Green Air Tools,Hsiung Jen Industrial Co. Ltd.,İleri Otomotiv Yedek Parça,İstanbul Fiat Otomotiv,Kaçmazlar Gear Industry","Eligibility Criteria: Open to industry professionals
Fees: Free
Registration will be opened.","Sponsorship Fees: Contact required for pricing info
Exhibitor Fees: Standard booth - £340 per sq m ($425)
Exhibitor Registration",https://automechanika-istanbul.tr.messefrankfurt.com/istanbul/en/press/photos.html,,https://www.facebook.com/automechanikatr,https://www.instagram.com/automechanikaistanbul/,https://www.linkedin.com/in/automechanika-istanbul-72786612b/,https://twitter.com/automechanikatr
Trade Show,Automotive,Shanghai International Auto Air-Conditioning & Transport Refrigeration Exhibition,13 Nov 2019-15 Nov 2019,09:00 AM - 04:30 PM (13 Nov 2019-14 Nov 2019)|09:00 AM - 02:30 PM (15 Nov 2019),13-15 Nov 2018,Nov-20,China,Shanghai,Shanghai Everbright Convention & Exhibition Center,11729,480,http://www.autocoolexpo.com/en,+86 21 61270390,wangjialiang@ite-gehua.com,"To be the Pioneer of Mobile Refrigeration Industry, To serve Manufacturing and Maintenance Market

The Shanghai International Auto Air-Conditioning and Transport Refrigeration Exhibition will be held for the 17th time in 2019. The exhibition follows the latest trends in the mobile refrigeration industry closely, and is famous in the mobile refrigeration industry for its professionalism. Its influence stretches beyond China, and it is one of the mobile refrigeration industry's most important special exhibitions in Asia and the rest of the world.

http://www.autocoolexpo.com/en/site/introduce","Dyne China,Haier,Flinkpec,Lagou,Panasonic,Zon Cen,Shiuangkai Automobile Air-Condition,KPRUI,JYAC,Tianjin Getes Testing Equipment Technology Development Co. Ltd.,Shanghai Highly (Group) Co. Ltd.,Tchain,Kaixue Cold Chain Co. Ltd.,Hefei Dyne Automobile Air Conditioning Co. Ltd.,Ruian Saichao Refrigeration Equipment,Leibeisi Radiator,Wenling Yuhang Auto Parts Co. Ltd.,Saima Auto Parts,Quanzhou Chino Electronics Co. Ltd.,Guangchen Electronics Factory","Elgibility Criteria: Open to industry professionals
Successful pre-registrants need print out the confirmation email (with visitor registration code) and present it with 2 business cards (name cards) at the on-site Pre-registered Visitor Counter to redeem admission badge.
Visitors with invitation tickets are required to fill out a registration form at the From Filling Counter upon arrival (located at main entrance of the venue). Then proceed to Visitor Registration Counter and present the filled form to redeem admission badge.  Trade visitors without invitation tickets are also entitled to free admission by following the above on-site registration procedure for admission.
Fees: Free
Attendee Registration","Sponsorship Fees: No info
Exhibitor Fees: Standard Booth (1st & 2nd floor) - $445 per sq m
Standard Booth (3rd floor) - $333 per sq m
Raw Space (1st & 2nd floor) - $400 per sq m
Raw Space (3rd floor) - $300 per sq m
Exhibitor Registration",,https://v.qq.com/x/page/d08141b07g6.html,https://www.facebook.com/events/shanghai-ciaar-exhibition-show/1447084615305879/,,,
Trade Show & Conference,Automotive,CAPAS - Chengdu International Trade Fair for Automotive Parts and Aftermarket Services,21 May 2020-23 May 2020,09:00 AM - 05:00 PM (21 May 2020-22 May 2020)|09:00 AM - 03:00 PM (23 May 2020),23-25 May 2019,1/5/2021,China,Chengdu, Century City New International Convention and Exhibition Center,18916,612,https://capas-chengdu.hk.messefrankfurt.com/chengdu/en.html,+852 2238 9909,flora.chan@hongkong.messefrankfurt.com,"A Leading Platform for Southwest China's Automotive Industry

CAPAS has generated tremendous responses and has become one of the leading platforms for the automotive industry in Southwest China. Moving towards its fifth edition, CAPAS continues to play a role in supporting the growing community by offering a platform for industry players to expand their business networks and exchange the latest industrial innovations.

https://capas-chengdu.hk.messefrankfurt.com/chengdu/en/facts-figures.html","Alkar China,BALUN Technology Co. Ltd.,CEP Technologies Co. Ltd.,Chaoda Auto Parts Co. Ltd.,De Hua Materials Testing Co. Ltd.,Eagle Trading (Far East) Ltd.,Freecars (China) Company Ltd.,GRST Energy Ltd.,Hangzhou Jizhi Mechatronic Co. Ltd.,Hongke Technology Co. Ltd.,Jex Motorsport Co. Ltd.,Karin Electronics Supplies Co. Ltd.,Motor China,NAO Electronic Technology,Ossca Auto Parts IMP,Porsche (China) Motors Ltd.,Quantum EVM Limited,Rios Auto Parts Co. Ltd.,SDZ Auto Parts Co. Ltd,Sunrise Group","Eligibility Criteria: 18 years old or above, trade visitors only
Online registration will be opened
Fees: Free","Sponsorship Fees: No info
Exhibitor Fees:
Standard package (min. 9 sq m)
Zone A - RMB 1.100/sq m (Around $160)
Zone B - RMB 800/sq m (Around $116)
Raw space (min. 24 sq m)
Zone A - RMB 900/sq m (Around $130)
Zone B - RMB 650/sq m (Around $95)
Exhibitor Registration",https://capas-chengdu.hk.messefrankfurt.com/chengdu/en/press/photos.html,,https://www.facebook.com/capas.chengdu,,https://www.linkedin.com/in/capas-chengdu-96b205141/detail/recent-activity/posts/,
Trade Show,Automotive,China Motorcycle Parts Fair,13 Nov 2019-15 Nov 2019,09:00 AM - 06:00 PM,13-15 Nov 2018,Nov-20,China,Guangzhou,Poly World Trade Center,36000,1000,https://www.motorcyclepartsfair.com,,englishmaninchina@gmail.com,"The world's biggest motorcycle motorcycle parts trade expo and fair

The Autumn China Motorcycle Parts Fair exhibits all kinds of motorcycles, electric bicycles and vehicles and will draw the attention of motorbikes manufacturers from all over the world. It is a must-attend event for the industry professionals related to motorcycles industry and the attendees who have a keen interest in contemporary vehicles and motorbikes.

https://www.motorcyclepartsfair.com/","Chongqing Yaoyong Shock Absorber Co., Ltd.,Jiangsu Mingxing Shock Absorber Co., Ltd.,Foshan ABC Shock Absorber Co., Ltd.,Roading International Co., Ltd.,Linhai Lucheng Auto & Motorcycle Assembly Co., Ltd.,Sichuan Chuannan Absorber Group Co., Ltd.,Ningbo Huaying Machinery Co., Ltd.,Zhejiang Bosuer Motion Apparatus Co., Ltd.,Qingdao Bestsale Tyre Co., Ltd.,Combest Int'l Industrial Co., Ltd.,Anhui Light Industries International Co., Ltd.,Binhai Moulds and Plastics Group Co., Ltd.,Changzhou Qian Fu Plastic Industry Co., Ltd.,Changzhou Yinhe Minglei Bicycle Fittings Factory,Guangzhou Besyo Auto Parts Co., Ltd.,Changzhou Junfeng Lantian Vehicle Co., Ltd.,Jiangmen Jusheng Vehicle Parts Co., Ltd.,Luoyang Luojia Highland Motors Co., Ltd.,Changzhou Wujin Huafeng Automobile Industry Co., Ltd.,Wuhu Kengchang Mechanical & Electrical Co., Ltd.","Eligibility Criteria: Open to industry professionals and enthusiasts
Fees: Free
Contact required for registration","Sponsorship Fees: No info
Exhibitor Fees: Contact required for further details",https://www.motorcyclepartsfair.com/last-fair,https://www.youtube.com/watch?v=xp-8f-pIrNQ,https://www.facebook.com/motorcyclepartsfair/,,,
Trade Show,Automotive,Global Automotive Components & Suppliers Expo,16 Jun 2020-18 Jun 2020,10:00 AM - 07:00 PM (16 Jun 2020)|09:00 AM - 06:00 PM (17 Jun 2020)|09:00 AM - 03:00 PM (18 Jun 2020),21-23 May 2019,8-10 Jun 2021,Germany,Stuttgart,Messe Stuttgart,25000,400,https://www.globalautomotivecomponentsandsuppliersexpo.com/en,+44 1306 743744,registration@ukimediaevents.com,"Stuttgart's International Exhibition of Specialist Automotive Components and Automotive Supply Chain Partners

Global Automotive Components and Suppliers Expo features international exhibitors demonstrating the best of manufacturing expertise from around the world. Global Automotive Components & Suppliers Expo provides vital connections between engineers, project buyers and manufacturers.

https://www.globalautomotivecomponentsandsuppliersexpo.com/en/index.php","ACTech GmbH,Albis Plastic GmbH,Chioyoda Integre Co. Ltd. Japan,Diamond Coatings,Elematec Czech s.r.o.,Fremach International,Guth & Wolf GmbH,HONDVO Tooling Limited,IHI Hauzer Techno Coating B.V.,Industria Metalli,Konrad Technologies,Luminar Technologies Inc,MPI Europe GmbH,Niebling GmbH,Oerlikon Balzers Coating Germany GmbH,Osram Opto Semiconductors GmbH,Reutlingen University,Saint-Gobain Performance Plastics,Siemens,Toyota Boshoku Japan","Eligibility Criteria: Open to industry professionals
Fees: Free
Attendee Registration","Sponsorship Fees: No info
Exhibitor Fees: Contact required for pricing information
Exhibitor Registration",https://www.globalautomotivecomponentsandsuppliersexpo.com/en/full-gallery.php?year=2019,,,,,
Trade Show & Conference,Automotive,Taipei AMPA,15 Apr 2020-18 Apr 2020,09:00 AM - 05:00 PM,24-27 Apr 2019,Apr-21,Taiwan,Taipei,Taipei Nangang Exhibition Center,1340,7212,https://www.taipeiampa.com.tw/en_US/,+886-2-27255200 ext. 2626,ampa@taitra.org.tw,"Taiwan's foremost nonprofit trade promoting organization

Taipei Ampa is an international exhibition for auto parts and accessories and will take place in Taipei. It gives exhibitors the opportunity to present their latest products to an expert and interested audience. Visitors can use the show to find partners from the Asian region, to view the latest trends for the industry and to do networking.

https://www.taipeiampa.com.tw/en_US/news/info.html?id=6F6A423AEB0B224B","Motec Industrial Co. Ltd.,Spring Lite Electronic Enterprise Co. Ltd.,A-One Parts Co. Ltd.,Asia International Co. Ltd.,Best Power Tools Co. Ltd.,Chase Steering Parts Co.,Chihon Machinery Co. Ltd.,Eagle Eyes Industrial Co. Ltd.,Forge Asia,iCatch Technology Inc.,Jideco Industrial,KD International Co. Ltd.,Kronyo United Co. Ltd.,Linkchamp Co. Ltd.,Miin Luen Manufacture Co. Ltd.,Minder Group,Plus Metal Tech Co. Ltd.,Rolling Industrial Co. Ltd.,Shin Ye Heng Ltd.,Solar Technology Corporation","Eligibility Criteria: Open to industry professionals
After online pre-registration, visitors must submit badge with 2 business cards at registration counter. Visitors may also register onsite.
Fees: Free
Attendee Registration","Sponsorship Fees: Vary between NT$32.000 - NT$61.000
Exhibitor Fees: Contact required for pricing info
Registration will be opened.",https://www.taipeiampa.com.tw/en_US/act/album/photo/list.html?sFuncID=31CE135F3DDB7BB1D0636733C6861689,https://www.taipeiampa.com.tw/en_US/act/media/list.html?sFuncID=7717C3B28C5CD406D0636733C6861689,https://www.facebook.com/TaipeiAMPA,https://www.instagram.com/taipeiampa/,,
