Type of Event,Event Verticals,Name of Event,Dates,Hours,Date of Last Year's Event,Date of Next Year's Event,Country,City,Venue,# Atendees of Last Event,# Exhibitors of Last Event,URL,Phone Number,E-mail,About the Event,Exhibitors,Attendees,Exhibitor Info,Link to Photos,Link to Videos,Facebook,Instagram,Linkedin,Twitter
Trade Show & Conference,"B2B Services, Tech",Optical Society Laser Congress,29 Sep 2019 - 3 Sep 2019,09:00 AM - 06:00 PM,4-8 Nov 2018,Autumn 2020,Austria,Vienna,Austria Center Vienna (IAKW-AG),1000,48,https://www.osa.org/en-us/,+1 202.223.8130,info@osa.org,"A comprehensive view of the latest technological advances in solid state lasers as well as the applications of laser technologies for industrial products and markets

The OSA Laser Congress exhibition offered attendees the opportunity to establish business relationships and make strategic purchase decisions. With 48 exhibitors and sponsors at the event, attendees in search of a solution had a number of sources to help them identify the best option for their particular needs.

https://www.osa.org/en-us/meetings/osa_meetings/laser_congress/about/","Cristal Laser SA, Directed Energy Professional Society, EKSMA Optics, Electro-Optics Technology Inc., Lavertec GmbH, Futonics Laser GmbH, MegaWatt Lasers, Nikon Corporation, Glass Business Unit, OptoSigma Europe, Oxide Corporation, Raicol Crystals Ltd., Thorlabs GmbH, Zurich Instruments, IPG Photonics Corp., ISOWAVE, NYFORS, MPS Micro Precision Systems AG, Light Conversion, FLIR Scientific Materials Corp., Edmund Optics","Eligibility Criteria: Open to industry professionals
Fees: Vary between $580 - $710 if registered before or on 26 Aug 2019
$705 - $835 after 26 Aug 2019 
Attendee Registration","Sponsorship Fees: Vary between $500 - $7.500
Exhibitor Fees: 10 x 10 Exhibit Space
$2.645 - OSA Industry Development Associates (OIDA) Members
$2.900 - Non-members
5 x 8 Tabletop Display
$2.040 - OSA Industry Development Associates (OIDA) Members
$2.400 - Non-members
Exhibitor Registration",,https://www.osa.org/en-us/media_library/,https://www.facebook.com/opticalsociety,,https://www.linkedin.com/groups/?gid=56568&trk=hb_side_g,https://twitter.com/opticalsociety/
Trade Show & Conference,"B2B Services, Tech",Hannover Messe,20 Apr 2020-24 Apr 2020,09:00 AM - 06:00 PM,1-5 Apr 2019,12-16 Apr 2021,Germany,Hanover,Deutsche Messe AG,215000,6500,https://www.hannovermesse.de/en,+49 511 89 - 37777,info@messe.de,"Leading Trade Show for Integrated Automation, Industrial IT, Power Transmission and Control

Hannover Messe is the worlds leading fair for promoting industrial technologies worldwide. The event involves all core technologies and core areas in industries ranging from Research and Development to the mobility of technologies. The event involves a wide variety of synergies offered by the professionals and experts.

https://www.hannovermesse.de/en/exhibition/facts-figures/","Facchini Francesco, Bosch Engineering, Bosch Rexroth, Bosch KWK Systeme, Bossard Deutschland, German Bionic, Mark & Wedell, MaTec Gummiwerk, Panasonic Electric Works Europe, Japan Nose Seiko (JNS), Siemens, Sigma Elektrik, Pflitsch, Ubisense, Daimler, Omec Motors, RE'FLEKT, Accenture, Veritas, Karlsruher Institut fr Technologie","Eligibility Criteria: Open to industry professionals
Fees: Free
Attendee Registration","Sponsorship Fees: Vary between 220 - 2.329
Different prices may be quoted for additional advertising & sponsoring 
Exhibitor Fees: Early booking rate until 15 Sep 2019 - 232/sq m
Standard rate - 239/sq m
Standard Package - 2.789
Fair Packages - 4.646
Exhibitor Registration",https://www.hannovermesse.de/en/news/media-library/,https://www.hannovermesse.de/en/news/media-library/,https://www.facebook.com/hannovermesse.fanpage,https://www.instagram.com/hannover_messe/,https://www.linkedin.com/showcase/hannovermesse/,https://twitter.com/hannover_messe
Trade Show & Conference,"B2B Services, Tech",Integrated Systems Europe,11 Feb 2020-14 Feb 2020,10:00 AM - 06:00 PM (11 Feb 2020)|09:30 AM - 06:00 PM (12-13 Feb 2020)|09:30 AM - 04:00 PM (14 Feb 2020),5-8 Feb 2019,2-5 Feb 2021,Netherlands,Amsterdam,RAI Amsterdam,81268,1301,https://www.iseurope.org/,+31 20 240 2424,office@iseurope.org,"The European Destination for the Global AV Industry

ISE is now recognised as the largest AV and systems integration show in the world. It is the European destination for an industry that is truly global. If you have business to do in any of the many market segments that make up this dynamic industry, youll be part of ISE  either as an exhibitor or an attendee.

https://www.iseurope.org/the-story-of-ise/","AVer Information Europe B.V., Avitech, BenQ Europe B.V., Bosch Security Systems B.V., Canon Europe, Casio Europe GmbH, Cisco, EZCast, Epson Europe B.V., GoMax Electronics, Inc., Intel, JVC, LG Electronics, Logitech, Maxell Europe Ltd, Mitsubishi Electric Europe, Omron Electronic Components, Panasonic Marketing Europe GmbH, Philips Professional Display Solutions, Samsung Electronics","Eligibility Criteria: Open to industry professionals
Fees: To be announced
Attendee Registration","Sponsorship Fees: Contact required for pricing information
Exhibitor Fees: 447 - 472 per sq m
Shell schemes available between 80 - 240/sq m
Exhibitor Registration",https://www.iseurope.org/gallery-ise2019/,https://www.iseurope.org/ise-show-tv/,https://www.facebook.com/integratedsystemseurope,,https://www.linkedin.com/company/1436701,https://twitter.com/ISE_show
Conference,"B2B Services, Tech",International Conference on Computer Science Networks and Information Technology,9 Aug 2019-10 Aug 2019,09:00 AM - 06:00 PM,3-4 Aug 2018,Aug-20,Canada,Montreal,University of Quebec in Montreal,5000,,http://www.iccsnit.org,+91 988 800 3002,info@innovativeresearchpublication.com,"The Leading of the Computer Science and Information Technology

International Conference on Computer Science Networks and Information Technology will provide an excellent international forum for sharing knowledge and results in theory, methodology, and applications of Computer Science Networks and Information Technology. The Conference looks for significant contributions to all major fields of the Computer Science and Information Technology in theoretical and practical aspects.",,"Eligbility Criteria: Open to practicioners from the academia and the industry
Fees: Listeners - $300
Authors - $350 - $450
Additional Paper(s) - $250, Additional Page - $10/one page
Extra Proceeding - $100
Attendee Registration",,,,,,,
Trade Show & Conference,"B2B Services, Tech",China International Logistics & Transportation Fair,10 Oct 2019-12 Oct 2019,9:00 AM - 5:00 PM (10 Oct 2019-11 Oct 2019)|9:00 AM - 3:00 PM (12 Oct 2019),11-13 Oct 2018,Oct-20,China,Shenzen,Shenzhen Convention & Exhibition Center,138700,1865,http://en.scmfair.com/,+1 213 628 9888,calvincheng@shenzhenoffice.org,"Leading Logistics and Transport Fair for Logistics & Supply Chain, Port & Shipping

Debut in 2006, China (Shenzhen) International Logistics and Supply Chain Fair (CILF) has been successfully held for 13 successive years and earned a popular reputation. As a professional, effective, reliable and wide exchange platform for all players in logistics, transport and relevant industries all over the world, the CILF attracts numerous international well-known firms to exhibit and further promotes the international influence of China logistics industry.

http://en.scmfair.com/wbhjsen/index.jhtml","YFHEX Logistics, Shenzhen G-speed Industrial Development Co. Ltd., Shenzhen Fengze International Freight Forwarding Co. Ltd., Donghai Airlines Co., Ltd., BRE-LINE, Sinotech Logistics Co., Ltd., Lingshun International Logistics Co., Ltd., Union Cargo International Forwarder Co., Ltd, YunExpress, Fenvico International Freight Forwarding (ShenZhen) Ltd, Lianying Logistics Co., Ltd., Thomas Miller & Ci.,Ltd, Eastation Logistics Limited, Usky Logistics, Shenzhen City Ocean Logistics Co. Ltd., Salezoom, Shanghai Juneyao Logistics, Shenzhen DTW Logistics Co., Ltd., DIDADI Logistics tech, Penavico Shenzhen Logistics Ltd.","Eligibility Criteria: Open to industry professionals
Fees: Free
Attendee Registration","Sponsorship Fees: No info
Exhibitor Fees: Standard booth (9 sq m) - $2.980
Raw space (36 sq m) - $9.720
Exhibitor Registration",http://en.scmfair.com/zsfcen/index.jhtml,http://en.scmfair.com/wjhgen/index.jhtml,https://www.facebook.com/CILF-231644594061655/?ref=page_internal,,https://www.linkedin.com/company/china-shenzhen-international-logistics-and-transportation-fair/,https://twitter.com/scmfair
Conference,"B2B Services, Tech",International Conference on Computer Science and Information Technology,18 Dec 2019-20 Dec 2019,09:00 AM - 06:00 PM,23-25 Oct 2017,,Spain,Barcelona,University of Barcelona International Summer School,500,,http://www.iccsit.org/,+86 183 0282 0449,iccsit@iacsit.net,"A forum for presenting excellent results and new challenges facing the field of computer science and information technology.

The conference has been held since 2008. Over the past eleven years, ICCSIT has developed into a well established conference covering topics from artificial intelligence to bioinformatics, theory and techniques for the design, application. The ICCSIT 2019 offers a rich program, including keynote speeches, regular presentations, 2 workshops, academic visiting or tour. We need your contribution and participation to make it a successful event.

http://www.iccsit.org/index.html",,"Eligibility Criteria: Open to professionals from the industry, academia, and governments
Fees: Authors and Listeners - $300
Presenter only - $$350
Co-authors or Family Members - $300
Academic Visiting/Tour (Optional) - $120
Attendee Registration",,http://www.iccsit.org/2017.html#,,,,,
Trade Show & Conference,"B2B Services, Tech",iTech Toronto,24 Oct 2019,08:00 AM - 06:00 PM,07-May-19,May-20,Canada,Toronto,Metro Toronto Convention Centre (MTCC) South Building,1000,265,https://www.itechconference.ca/toronto-downtown,+1 888 443 6786 ext. 2210,registration@itechconference.ca,"Toronto's Leading IT Conference & Exhibition

The iTech is a leading IT conference and exhibition for IT professionals. The conference will focus on Infrastructure, Cloud, Security, Data Centre, and Mobility. The conference will provide a platform to all attendees to discover new cutting-edge products and services, network and meet new people in the industry, stay up-to-date on the latest technology trends and see the technology in action through demonstrations.

https://www.itechconference.ca/toronto-downtown/why-attend.html","Microsoft, Datto, Juniper Networks, Storagepipe, Cradelepoint, Electronic Recycling Association, Topdesk, Toshiba, Kaspersky, Fonex, Zerto, Jive, Inap, Qnap, The Ascii Group Inc., Canada's Association of IT Professionals","Eligibility Criteria: Open to IT professionals
Fees: All Access Conference Pass - $50
Attendee Registration","Sponsorship Fees: Contact required for pricing details
Exhibitor Fees: Contact required for pricing details
Exhibitor Registration",,,https://www.facebook.com/itechconference/,https://www.instagram.com/itech_conference/,https://www.linkedin.com/showcase/itech-conference/,https://twitter.com/itechconference
Trade Show & Conference,"B2B Services, Tech",GITEX Technology Week,6 Oct 2019-10 Oct 2019,09:00 AM - 06:00 PM,14-18 Oct 2018,Oct-20,UAE,Dubai,Dubai World Trade Centre,100000,4200,https://www.gitex.com/,+97 14 308 6282,gitexmarketing@dwtc.com,"International Exhibition for Multimedia and Communications

GITEX is an industry-defining platform where renowned names in technology and business meet to push the global transformation agenda ahead.

https://www.gitex.com/what-is-gitex","Cisco, SAP, STC Advanced Solutions, Huawei, PureStorage, Esri, Software AG, Planet Networking & Coomunication, Commvault, A10, China Mobile, Tata Communications, Honeywell, Mitsubishi Electric, Siemens, Trilux, FDC International, Energizer, Dubai Electronic Security Center, Hiperdist","Eligibility Criteria: Open to industry professionals
Fees: Free
Attendee Registration","Sponsorship Fees: Contact required for pricing information
Exhibitor Fees: Space only (12 sq m) - 25.500 AED
Upgraded Shell Scheme (12 sq m) - 31.500 AED
Exhibitor Registration",https://www.gitex.com/media,https://www.youtube.com/user/GitexTechWeek,https://www.facebook.com/GitexTechnologyWeek/,https://www.instagram.com/gitextechweek/,https://www.linkedin.com/company/gitex./?viewAsMember=true,https://twitter.com/GITEXTechWeek
Trade Show & Conference,"B2B Services, Tech",IWCE - International Wireless Communications Expo,30 Mar 2020-2 Apr 2020,07:30 AM - 05:30 PM (30 Mar 2020-31 Mar 2020)|07:30 AM - 06:30 PM (1 Apr 2020)|07:30 AM - 05:00 PM (2 Apr 2020),4-8 Mar 2019,Mar-Apr 2021,USA,Las Vegas,Las Vegas Convention Center,400,7000,https://www.iwceexpo.com/iwce20/,+971 4 407 2720,aqeel.ahmed@informa.com,"Integrating Technology & Education

The International Wireless Communications Expo is a platform where people can make the human connections they need to be successful, whether it is connecting to a future client, boss, employee or business partner. It also provides the attendees with the opportunity to connect to information about a technology, product or policy that is crucial to success.

https://www.iwceexpo.com/iwce20/Public/FAQManagement.aspx?ID=1072076","Agile Interoperable Solutions (AIS), CXD Science & Technology Co., Ltd., Enterprise Wireless Alliance (EWA), EXACOM, Inc., JCK Solutions Inc, Keysight Technologies, Klas Telecom, Mission Critical Energy Inc., Opek Technologies, Inc., Piciorgros GmbH Funk-Electronic, Raven Electronics Corporation, TC Communications, Inc., Motorola Solutions, BK Technologies, BTECH, Inc., Comtronix Communications, Zebra Technologies, Trans-Canada Energies Distribution, TASC Systems Inc., Sunny Communications","Eligibility Criteria: Open to industry professionals
Registration will be opened
Fees: To be announced
2019 ticket prices vary from $99 to $1.599
Attendee Registration","Sponsorship Fees: Vary between $500 - $50.000
Exhibitor Fees: To be announced
2019 prices
9 sq m Display package - $7.500
19 sq m Display package - $12.800
Exhibitor Registration",,https://www.youtube.com/user/IWCEUrgentComm,https://www.facebook.com/IWCEexpo,,https://www.linkedin.com/company/iwce/,https://twitter.com/IWCEexpo
Trade Show & Conference,"B2B Services, Tech",COMPUTEX TAIPEI,2 Jun 2020-6 Jun 2020,09:30 AM - 06:00 PM,28 May-1 Jun 2019,May-June 2021,Taiwan,Taipei,Taipei International Convention Center (TICC),42495,1600,https://www.computextaipei.com.tw/,,computex@taitra.org.tw,"Asias leading B2B ICT trade show

COMPUTEX TAIPEI is the world's leading technology B2B trade show. This event revolves around computer peripherals, data storage devices, consumer electronics products, an input device, handheld accessory, computers, networking products, computer case and relevant products and other computer parts and components and other wireless communication products. Suppliers and distributors from almost every major brand mark their presence and present their best of a product on exhibition.

https://www.computextaipei.com.tw/en_US/show/info.html?id=30DFCDF5EE072970D0636733C6861689&sFuncID=30DFCDF5EE072970D0636733C6861689","Acer Incorporated, Audi Volkswagen Taiwan Co. Ltd., BENQ Corporation, Leopard Mobile, Memxpro Inc., Trans Electric Co. Ltd., K-Best Technology, Seigyo Corporation, Sharetech Information Co. Ltd., Gomax Electronics Inc., Raidon Technology Inc., Riotec Co. Ltd., Flytech Technology Co. Ltd., Omega Technology Inc., Vision Pioneer Co. Ltd., V-Color echnology Inc., EC Electronics Ltd., Elan Microelectronics Corp., Tashi Smartech Co. Ltd., Nextech Co. Ltd.","Eligbility Criteria: Open to industry professionals
Visitors should bring a copy of the confirmation e-mail and 2 business cards to collect the visitor badges. Visitor can register and collect visitor badges on-site.
Fees: Free
Attendee Registration","Sponsorship Fees: To be announced
2019 prices vary from  50.000 NTD to 1.500.000 NTD
Exhibitor Fees: To be announced
2019 booth rental rates vary from $810 to $8.050
Exhibitor Registration",https://www.computextaipei.com.tw/en_US/photoLink/adList.html?sFuncID=45B856225CE9A253D0636733C6861689,https://www.computextaipei.com.tw/en_US/act/media/list.html?sFuncID=47328A4051DDE530D0636733C6861689,https://www.facebook.com/COMPUTEX.TAITRA,,,https://twitter.com/computex_taipei
