Type of Event,Event Verticals,Name of Event,Dates,Hours,Date of Last Year's Event,Date of Next Year's Event,Country,City,Venue,# Atendees of Last Event,# Exhibitors of Last Event,URL,Phone Number,E-mail,About the Event,Exhibitors,Attendees,Exhibitor Info,Link to Photos,Link to Videos,Facebook,Instagram,Linkedin,Twitter
Trade Show & Conference,"Environment, Waste",Waptema Water Expo,1 Aug 2019-3 Aug 2019,10:00 AM - 06:00 PM,15-17 Jun 2018,TBA,India,New Delhi,Pragati Maidan,,,https://waptema.org/,+91 9811 691 22,contact@waptema.org,"India's Leading Trade Show Providing Most Effective Marketing Platform to Water Industry

Waptema Water Expo will combine technology displays, networking business and knowledge of the rapidly expanding water market globally. Waptema Water Expo (WWE) creates a venue for business development and effective platform to promote brands and services.

https://waptema.org/about-us/","Cool Blue Aqua,GenPure,Excel Filtration Pvt. Ltd.,Max Pure,Cammy International,Wave Cyber,Sujata,VIDI,Nexus Cabinet,Blue Creek,Lexcru,Smotech,Liquid Filter,Rossari,Joystick Biocare,Troupe,Thunderwell,Enagic,Pzone,Orix Aqua","Eligibility Criteria: Open to industry professionals and trade visitors
Fees: Contact required for pricing information
Attendee Registration","Sponsorship Fees: No information
Exhibitor Fees: Contact required for further information
Exhibitor Registration",https://waptema.org/event-galleries/,,https://www.facebook.com/WAPTEMAOfficial/?eid=ARAWRRgIgQqIRViY4uyvyjoVEX6X2QxuethG1xXlMTNUeiR9QHNWAyc_43R3y1ASxPoEiC42_vJX09Gh,,,
Conference,"Environment, Waste","International Conference on Energy, Ecology and Environment",23 Jul 2019-26 Jul 2019,09:00 AM - 06:00 PM,21-25 Nov 2018,TBA,Norway,Stavanger,Clarion Hotel Stavanger,,,http://www.iceee.net/,,iceee2019@iceee.net,"Leading International Forum for the Energy, Ecology and Environment Sectors

In the past years the International Conference on Energy, Ecology and Environment (ICEEE) has become a leading international forum for key stakeholders of the energy, ecology and environment sectors. The forum brings together experts in three disciplines to discuss the latest technological advancement and share their experiences and ideas on a safe, affordable, ecologically and environmentally responsible global energy transition.

http://www.iceee.net/index.html",,"Eligibility Criteria: Open to industry professionals
Fees: Full delegate
Early bird (until June 15, 2019) - $600
Normal (after June 15, 2019) - $750
Onsite - $850
Students
Early bird (until June 15, 2019) - $450
Normal (after June 15, 2019) - $550
Onsite - $700
Accompany person - $200
Study visit - $100 per day
Attendee Registration",,,,,,,
Conference,"Environment, Waste",International Conference on Green Energy and Environmental Technology ,24 Jul 2019-25 Jul 2019,09:00 AM - 06:00 PM,,TBA,France,Paris,Université París 8,,,https://geet-19.com/,+34 924 10 56 97,geet@sci-know.org,"International Forum on Issues Related to Green Energy and Environmental Technologies

This event will include the participation of renowned keynote speakers, oral presentations, posters sessions and technical conferences related to the topics dealt with in the Scientific Program as well as an attractive social and cultural program.

https://geet-19.com/",,"Eligibility Criteria: Open to industry professionals
Fees: Full delagate
Until April 30th - €495 - €545
From April 30th -€595 - €645
Onsite - €695 - €745
Student Delegate
Until April 30th - €395 - €445
From April 30th - €495 - €545
Onsite - €595 - €645
Attendee Registration",,,,https://www.facebook.com/Sciknowledge-European-Conferences-264858554206533/,https://www.instagram.com/sciknowledge_conferences/,https://www.linkedin.com/company/geet19/,https://twitter.com/GreenEnergyCong
Conference,"Environment, Waste","International Conference on Clean Water, Air & Soil",26 Jul 2019-28 Jul 2019,09:00 AM - 06:00 PM,10-12 Aug 2018,Jul-Aug 2020,Vietnam,Tân Phú,University of Transport,100,,https://inwascon.org.my/cleanwas/,+60 38 921 5865,mhmarlia@ukm.edu.my,"New Techniques and Horizons to Contribute to Clean Environment

The aim of CleanWAS 2019 is to provide productive opportunities for academics and practitioners from interdisciplinary fields of Environmental Sciences to meet, share and take away expertise and ideas in related disciplines. The conference will bring together leading researchers, engineers and academician in the domain of interest from around the globe.

https://inwascon.org.my/cleanwas/",,"Eligibility Criteria: Open to industry professionals
Fees: Listeners - $200
One day visit - $100
Attendee Registration","Sponsorship Fees: Packages vary between RM 3.000 - RM 10.000
Sponsorship packages include opportunity to exhibit
Exhibitor Registration",,,https://www.facebook.com/pg/inwascon/posts/,,,
Conference,"Environment, Waste",Arizona WateReuse Symposium,28 Jul 2019-30 Jul 2019,08:45 AM - 06:00 PM,22-24 Jul 2018,Jul-20,USA,Flagstaff,Little America Hotel,,,https://watereuse.org/event/save-the-date-arizona-water-reuse-symposium-in-flagstaff-az/?instance_id=503,+1 602 332 3174,watereuseaz@cox.net,"Opportunity to Network with Water Reuse Professionals

WateReuse Arizona is comprised of state water professionals working together to encourage and assist communities achieve sustainable water supplies through reclamation and reuse.  WateReuse Arizona annually holds a Symposium.

https://watereuse.org/sections/watereuse-arizona/",,"Eligibility Criteria: Open to idnustry professionals
Fees: Full symposium rate - $285
Single day rate - $170
Attendee Registration","Sponsorship Fees: Platinum sponsor - $2.000
Gold sponsor - $1.000
Silver sponsor - $750
Bronze sponsor - $500
Sponsorship Registration",,https://www.youtube.com/user/WateReuse,https://www.facebook.com/WateReuse/,,https://www.linkedin.com/company/watereuse-association/,https://twitter.com/WateReuseAssoci
Trade Show & Conference,"Environment, Waste",AsiaWater Expo,31 Mar 2020-2 Apr 2020,10:00 AM - 06:00 PM,10-12 Apr 2018,Mar-Apr 2021,Malaysia,Kuala Lumpur,Kuala Lumpur Convention Center,17222,1000,https://www.asiawater.org,+603 9771 2688,asiawater-my@ubm.com,"Purifying the Region at AsiaWater 2020

With the strong growth in the water and wastewater industry within Southeast Asia, due to the region’s strong economic growth, ASIAWATER has positioned itself as the leading biennial water and wastewater exhibition and conference for developing Asian countries.

https://www.asiawater.org/About-Us/About-ASIAWATER","A & D Company Ltd,Amex GmbH,Aquaflex,Beaudrey Asia,Cemtrex,Cornywastons Technologies,Daeyoon Scale,Ecologix,Ellehammer,EP Purification Inc,Euratech Industries SDN BHD,Filtergard SDN BHD,Fuji Electric,George Fischer SDN BHD,Hanseung Chemical,I2O Water,IDEXX,Ipek International GmbH,LG Sonic,Maxwell Valve Industry SDN BHD","Eligibility Criteria: Open to industry professionals and trade visitors
Fees: Contact required for pricing details
Attendee Registration","Sponsorship Fees: Contact required for further information
Exhibitor Fees: TBA
Exhibiton Registration",https://www.asiawater.org/Media/Photo-Gallery,https://www.youtube.com/channel/UCyLuzCXGzQMqceFh8m1CANQ,https://www.facebook.com/asiawater.org/,,,https://twitter.com/ASIAWATERexpo
Trade Show & Conference,"Environment, Waste",WaterIndonesia,20 Nov 2019-23 Nov 2019,09:00 AM - 06:00 PM,,Nov-20,Indonesia,Jakarta,Jakarta International Expo,,,http://www.waterindonesiaexpo.com/,+603 9771 2688,Haza.Tukimin@ubm.com,"Towards a Sustainable Water Future in South East Asia

The inaugural launch of Water Indonesia will be co-located with two established events: Drinktech Indonesia and Plastics & Rubber Indonesia. Creating a huge opportunities for water technology companies, serving the needs of food and beverage industry, the largest and fastest growing industry in Indonesia.

http://www.waterindonesiaexpo.com/#","Aalborg Instruments and Control,AHF Industries,Aqualabo,Bacharach Inc.,BMG Intepco Limited,Boston Ball Valve,Cemtrex,Cogent Environmental,Ebara Corporation,Emmecom,Engtex Ductile,Evoqua's,Glynwed,Gussman Technologies SDN BHD,Hantech Co. Ltd.,Hayward Flow Control,Mirae Industry,Ritmo,Sensorex,Tencate","Eligibility Criteria: Open to industry professionals
Fees: Contact required for further information
Attendee Registration","Sponsorship Fees: No information
Exhibitor Fees: Bare space only - $478/sq m
Walk on package - $544/sq m
Pavilion package - $614/sq m
Exhibitor Registration",http://www.waterindonesiaexpo.com/Media/Gallery,,https://www.facebook.com/asiawater.org/,,,https://twitter.com/ASIAWATERexpo
Trade Show & Conference,"Environment, Waste",ThaiWater,10 Jun 2021-12 Jun 2021,10:00 AM - 06:00 PM,5-8 Jun 2017,Jun-23,Thailand,Bangkok,Bangkok international Trade & Exhibition Centre,11149,1500,http://www.thai-water.com/,+66 2 036 0500,thaiwater-th@ubm.com,"Thailand's Leading Exhibition and Conference on Water and Wastewater Technology

The show displays workable answers to one of the most important problems in the world today – providing society with clean, drinkable water. Also featured: Waste Water Disposal Systems and the latest flood control developments. An all embracing event  covering one of the most important issues of our time.

http://www.thai-water.com/en-us/abouttheshow/showinformation.aspx","Lan Shan Enterprise Co. Ltd.,Met One,Grand Empro Trade Co. Ltd.,Fuji Electric (Thailand) Co. Ltd.,Challenge Industrial Co. Ltd.,Business Oregon,BAE Batterien GmbH,Brandex Directory Co. Ltd.,Digital Economy Promotion Agency,Encotec Co. Ltd.,Jntech Renewable Energy Co. Ltd.,Kangsaite Valve Co. Ltd.,Quantel Co. Ltd.,Radlinger Primus Line GmbH,Retech Energy Co. Ltd.,Teamco Industries Corporation,ThaiAqua Technology Co. Ltd.,PSV Creation Co. Ltd.,Proril Pumps Corporation,LMI Leipziger Messe International GmbH","Eligibility Criteria: Open to industry professionals and trade visitors
Fees: It will be announced soon.
Attendee Registration","Sponsorship Fees: No information
Exhibitor Fees: Contact required for further information
Exhibitor Registration",,https://www.youtube.com/watch?v=nDtdhgoVPjQ,https://www.facebook.com/pg/Thaiwaterexpo/about/?ref=page_internal,,,
Conference,"Environment, Waste",SWCS International Annual Conference,28 Jul 2019-31 Jul 2019,11:00 AM - 06:30 PM (28 Jul 2019)|07:00 AM - 07:00 PM (29 Jul 2019)|08:00 AM - 06:15 PM (30 Jul 2019)|07:45 AM - 02:00 PM (31 Jul 2019),28 Jul-1 Aug 2018,Jul-Aug 2020,USA,Pittsburgh,Wyndham Grand Pittsburgh Downtown,,,https://www.swcs.org/events/conferences/2019-annual-conference/,+1 515 289 2331,,"Bridging the Divide: Uniting Rural and Urban Landscapes for Conservation

SWCS International Annual Conference s the premier international organization for professionals who practice and advance the science and art of natural resource conservation. We pursue our aim through a combination of research, education, advocacy, and partnership efforts.

https://www.swcs.org/events/conferences/2019-annual-conference/","Syngenta,The Nature Conservancy,Soil Health Partnership,Daily Erosion Project	,River Network,Allegheny County Conservation District,Truax Company Inc,Meadville Land Service, Inc.,Ernst Conservation Seeds,American Water Works Association,American Farmland Trust,National Association of Conservation Districts,US Environmental Protection Agency,Agri Drain Corporation,Natural Resources Conservation Service,Soil and Water Conservation Society","Eligibility Criteria: Open to idnustry professionals
Attendees can still register onsite.
Fees: Full Conference Registration Rates
SWCS Member -$535
Register and Join SWCS - $650
Nonmember - $660
Senior (65+) - $435
Full-Time Student - $300
One-Day Rates
SWCS Member - $300
Nonmember - $350
Senior (65+) - $235
Full-Time Student - $180
Wednesday ONLY - $200","Sponsorship Fees: No information
Exhibitor Fees: Contact required for further information",,,https://www.facebook.com/soilandwaterconservation,https://www.instagram.com/swcsnews/,https://www.linkedin.com/company/soil-and-water-conservation-society/about/,https://twitter.com/swcsnews
Conference,"Environment, Waste",Climate Leadership Conference,1 Aug 2019,09:00 AM - 06:00 PM,,Aug-20,India,New Delhi,Le Meridien,,,https://cii.in/EventsDetails.aspx?enc=eo18/j+aJMWXCXiMZZAdo/pB1laQf8UgqXqui59m/VN0RA22iZdZd8ZDqP8Ae4DYgmjwI7FStTOtZAjWgkI3icD1WEivDvEmesHhwgxdSy8iDjKkH6A0c53NVju/izzT5MzB+ChTbKjfj2CT0fUpSD/ltnS1haBYpaCd1fnx3Pvq5dldhzp1SSIQPwjlyoqPQiFufNFCjiqC65BXsRBStA==,+91 11 41502174,cap2.0@cii.in,"Building Disaster Resilient Infrastructure

Climate Leadership Conference focuses on the high-level segment on the New government's agenda on Climate Change, building disaster resilient infrastructure for the nation against climate change impacts, start-up ecosystem on innovation in India, challenges that industry face in accounting supply chain related greenhouse gas emissions and what is the way forward.

https://bit.ly/2MkRQlQ",,"Eligibility Criteria: Open to industry professionals
Fees: Contact required for pricing information
Attendee Registration",,,,https://www.facebook.com/FollowCII/,,https://www.linkedin.com/company/confederation-of-indian-industry/,https://twitter.com/FollowCII/
