Type of Event,Event Verticals,Name of Event,Dates,Hours,Date of Last Year's Event,Date of Next Year's Event,Country,City,Venue,# Atendees of Last Event,# Exhibitors of Last Event,URL,Phone Number,E-mail,About the Event,Exhibitors,Attendees,Exhibitor Info,Link to Photos,Link to Videos,Facebook,Instagram,Linkedin,Twitter
Conference,"Banking, Finance",London Fintech Week,8 Jul 2019-9 Jul 2019,09:00 AM - 07:00 PM,6-13 Jul 2018,Jul-20,United Kingdom,London,etc.venues,2000,40,https://www.fintechweek.com/,,events@fintechww.com,"The original is back. L ondon Fintech Week 2019

Held in London, the heart of the Fintech revolution, the annual event brings together the Fintech sector in London and beyond to discuss the latest developments in Fintech. Delegates come from around the globe to engage in one of the worlds leading financial ecosystems.

https://www.fintechweek.com/","Griffin,BitAssist,Credit Kudos,NewBTC,ApTap,Risk Save,Frontier Network,IBM,CFTE,StepLadder,ElevatHer,Bitcar,Crowd For Angels,Plexus,Sharevest,Envestnet Yodlee,Fintech Alliance,BBFTA,Work on Blockchain,Cocoon Global","Eligibility Criteria: Open to industry professionals
Fees: 538,80 incl. VAT
Attendee Registration",,,https://www.youtube.com/user/FinTechWeek,https://www.facebook.com/fintechweek/,,https://www.linkedin.com/company/fintechweek/,https://twitter.com/FinTechWeek
Conference,"Banking, Finance",TradeFinex,18 Jun 2019,09:30 AM - 05:10 PM,,Jun-20,UAE,Abu Dhabi,Al Maqam Tower,,,http://events.tradefinex.org/,,events@tradefinex.org,"One single platform to address the increasing global trade finance gap

The first in a series of global roundtables convening trade and finance stakeholders to advance and showcase real-world use cases of hybrid blockchain and applications.

http://events.tradefinex.org/",,"Eligibility Criteria: Open to industry professionals
Price: Delegate Registration
Early bird - $299, Regular - $499
Virtual Attendee Pass
Early bird - $99, Regular - $199
Attendee Registration",,,https://www.youtube.com/channel/UCQaL6FixEQ80RJC0B2egX6g,,,https://www.linkedin.com/company/xinfin/,https://twitter.com/XinFin_Official
Conference,"Banking, Finance",Middle East Investment Summit,14 Apr 2020-15 Apr 2020,09:00 AM-06:00 PM,23-24 Apr 2019,Apr-21,UAE,Dubai,Jumeirah Emirates Towers Hotel,600,,https://www.terrapinn.com/conference/middle-east-investment-summit/index.stm,+971 4440 2500,enquiry.me@terrapinn.com,"The ultimate platform for industry professionals to network, strategise and learn from prominent global leaders, alongside their peers and colleagues

We have been fortunate to be the stewards of an event that for 21 years has met the needs of Middle Eastern institutional and private investors. With over $3 trillion of wealth in attendance annually, we are looking for innovative fund managers and solution providers who can help investors diversify their portfolios.

https://www.terrapinn.com/conference/middle-east-investment-summit/our-story.stm",,"Eligibility Criteria: Open to industry professionals
Fees: Individual Pass - $2.875
Group Booking - $2.590
Attendee Registration",,,,,,,https://twitter.com/meisdxb
Trade Show & Conference,"Banking, Finance",Seamless Middle East,25 Mar 2020-26 Mar 2020,09:00 AM-06:00 PM,10-11 Apr 2019,Mar-Apr 2021,UAE,Dubai,Dubai International Convention & Exhibition Centre,10000,500,https://www.terrapinn.com/exhibition/seamless-middle-east/FREE-Expo.stm#highlights,+971 4440 2500,enquiry.me@terrapinn.com,"An Event For The Brave New World Of Commerce

Technology is fundamentally changing the finance and commerce ecosystem. As consumers, businesses and governments adapt to a digital world, the desire for tech enabled solutions that improve traditional transaction methods and financial services is growing rapidly.

https://www.terrapinn.com/exhibition/seamless-middle-east/our-story.stm","Wuhan Tianyu Information Industry Co. Ltd.,LexisNexis Risk Solutions,3C Payment,AdvanIDe,Alhamrani Universal Company,Al Nawras Digital Solutions,Appgain Inc.,AustriaCard,Barnes International,Beijing Shenzhou Anfu Technology Co. Ltd.,Bitel Co. Ltd.,Bluebird Inc.,Castles Technology Co. Ltd.,Centerm Information,Checkout.com,MIND IOT Technology,Card Imaging Master,Compass Plus Ltd.,Crane Payment Innovations,Elyctis","Eligibility Criteria: Open to industry professionals & trade visitors
Fees: Conference ticket costs $1.500. Up to 65% discount is available if booked early. Exhibition is free to attend for conference visitors.
Special ticket offers available for group booking, confirmed exhibitors, retailers, startups, and government entities.
Attendee Registration","Sponsorship Fees: Various options are included exhibition packages
Exhibitor Fees: Starts at $405 per sq m
Exhibitor Registration",https://www.terrapinn.com/exhibition/seamless-middle-east/photos.stm,https://www.youtube.com/user/cardschannel,https://www.facebook.com/seamlessmiddleeast,,https://www.linkedin.com/showcase/seamless-middle-east/about/,https://twitter.com/seamlessDXB
Conference,"Banking, Finance",Digital Marketing for Financial Services Summit,19 Jun 2019-20 Jun 2019,07:30 AM - 05:00 PM,11-12 Jun 2018,Jun-20,Canada,Toronto,The Westin Harbour Castle Conference Centre,350,,https://www.financialdigitalmarketing.com/,+1 866 298 9343 Ext. 200,customercare@strategyinstitute.com,"The largest gathering of financial marketers in Canada

Adopt cutting edge tactics from leading innovators to gain a competitive advantage. Join 350+ attendees at the only event of its kind in Canada! Stay ahead of the curve with crucial insights.

https://www.financialdigitalmarketing.com/attending/who-attends/",,"Eligibilility Criteria: Open to industry professionals
Fees: Regular Investments - $2.195
Vendors, Suppliers & Consultants - $2.795
Early Birds Primary Priicng - $800
Early Birds Secondary Pricing - $400
Group of four receives 25% discount.
Attendee Registration",,https://www.financialdigitalmarketing.com/,,,,https://www.linkedin.com/groups/8353396/,https://twitter.com/DMFinancialServ
Conference,"Banking, Finance",Finance Transformation India Summit,18 Jul 2019-19 Jul 2019,08:00 AM - 05:00 PM,24-25 Jul 2018,Jul-20,India,Mumbai,Holiday Inn Mumbai International Airport,2000,,https://financetransformationindia.com/Home.aspx,+91 22 6608 9643,damodar.pai@inventicon.in,"Enabling enterprise performance and value through better cost management - driving efficiency and strategy

Building on the previous editions the 6th Finance Transformation India Summit 2019 will bring together leading industry experts to share best practices, case studies and latest trends from leading regional companies. This summit is designed to enable finance departments within organizations to not only be efficient and effective, but also integrated and flexible.

https://financetransformationindia.com/Home.aspx",,"Eligibility Criteria: Open to industry professionals
Fees: All access for Indian attendees - INR 35.400 incl. tax
All access for international attendees - $595
Attendee Registration",,https://financetransformationindia.com/5th-Edition.aspx,,https://www.facebook.com/InventiconBI/,,https://www.linkedin.com/company/inventicon-business-intelligence/,https://twitter.com/inventiconbi
Trade Show & Conference,"Banking, Finance",Accounting & Finance Show LA,23 Jul 2019-24 Jul 2019,08:00 AM - 05:30 PM (23 Jul 2019)|08:00 AM - 04:00 PM (24 Jul 2019),25-26 Jul 2018,Jul-20,USA,Los Angeles,Los Angeles Convention Center,2500,100,https://www.terrapinn.com/exhibition/accounting-finance-show-la/index.stm,+1 212 379 6322,enquiry.us@terrapinn.com,"Technology-Ideas-Skills For Accountants Bookkeepers & Finance Managers

The Accounting & Finance Show brings together the technology, the people and the experts that will keep you ahead of the exciting changes that are sweeping your profession. Whether you are an accountant or bookkeeper in private practice or a finance manager in a small business, this is the event for you. Where else do you have access to hundreds of new solutions on one giant show floor and a free conference programme that addresses the key skill development needs for your digital future?

https://www.terrapinn.com/exhibition/accounting-finance-show-la/our-story.stm","Entigrity,Adra by Trintech,AccountingSuite,AbacusNext,Aero Workflow,ancora Software,ANTS,Avidxchange,Camico,CardConnect,Cebod Telecom,ChargeZoom,Drake Software,Cloud9 Hosting,Divvy,DMMed Group,Emburse,FloQast,The Franchise Connectors,Gable Tax Group","Eligibility Criteria: Open to industry professionals
Fees: Free
Attendee Registration","Sponsorship Fees: Vary between $12.500 - $50.000
Exhibitor Fees: 5x10 booth - $2.500
10x10 booth - $5.000
20x10 booth - $10.000
Sponsorship packages include exhibition.
Exhibitor Registration",https://www.terrapinn.com/exhibition/accounting-finance-show-la/photos.stm,,https://www.facebook.com/AccountingShow,,https://www.linkedin.com/showcase/accounting-&-finance-show/,https://twitter.com/AccountingShow
Conference,"Banking, Finance",Payments & Cards Summit,6 Aug 2019,09:00 AM - 09:00 PM,22-Aug-18,Aug-20,India,Mumbai,The Westin Mumbai Garden City,136,,https://www.payments-cards.com/index.html,+91 987 002 2364,aditee@kamikaze.co.in,"The Summit unpacks the rapid advancement in technology and customer expectations in the industry

The Payments & Cards Summit is India's only event which is built exclusively for the payment and card executives at the industry's leading issuers, networks, retailers, e-tailers and innovators. Providing innovation, stimulation, thought leadership and relevancy in today's market, it is the must attend event for organisations looking for the right tools, solutions and advice on how to best run their business.

https://www.payments-cards.com/index.html",,"Eligibility Criteria: Open to industry professionals
Fees: Nomination fee - INR 17.500 + INR 4.124,68 processing fee
All access fee - INR 22.500 +  INR 4.124,68 processing fee
Attendee Registration",Limited sponsorship & exhibition opportunities available. Contact required for further information,https://photos.google.com/share/AF1QipPUSxuH4G4jyzJ2U8pH7QwaueEavyMeQXfODNcHyWm3pAdV2udZeHSvSJsi-GcXbA?key=WUZJWUdqaGlGTE5LakhtRUxQQTJpeWdweEFJdHJn,,,,,
Conference,"Banking, Finance",Finnovex Southern Africa,24 Jul 2019-25 Jul 2019,08:00 AM - 06:00 PM,,Jul-20,South Africa,Johannesburg,Montecasino Ballroom,,,https://finnovex.com/FinnovexSouthernAfrica/,+971 58 551 8437,info@exibex.com,"A must-attend conference focusing on the developments in the banking industry

Finnovex will bring together Fintech influencers, senior banking experts and industry leaders to network, collaborate and discuss the future of the banking and financial services industry. With banks now looking to become truly digital entities, it will be innovation that will act as the differentiator between the best and the rest.

https://finnovex.com/FinnovexSouthernAfrica/about/",,"Eligibility Criteria: Open to industry professionals
Fees: Delegate ticket - $743,19
Vendor ticket - $1.697,97
Attendee Registration","Sponsorship opportunities available.
sponsorship@exibex.com",,https://www.youtube.com/channel/UCfxEoE4GycX1m7YeHdOZQXQ,,https://www.instagram.com/finnovex/,https://www.linkedin.com/showcase/finnovex-middle-east/,https://twitter.com/Finnovexlive
Conference,"Banking, Finance",Finnovex West Africa,22 Oct 2019-23 Oct 2019,09:00 AM - 05:00 PM,,Oct-20,Nigeria,Lagos,To be announced,,,https://finnovex.com/wa/,+971 58 551 8437,info@exibex.com,"The Leading Summit on Financial Services Innovation and Excellence

Through Finnovex West Africa, we bring forth a platform for industry shaping discussions with experts, thought-leaders and innovators from all across the financial services community that will concentrate on global trends and disruptions.

https://finnovex.com/wa/",,"Eligibility Criteria: Open to industry professionals
Fees: Banker practitioner - $199
Startup - $299
Vendor - $1.999
Attendee Registration","Sponsorship opportunities available.
sponsorship@exibex.com",,https://www.youtube.com/channel/UCfxEoE4GycX1m7YeHdOZQXQ,,https://www.instagram.com/finnovex/,https://www.linkedin.com/showcase/finnovex-middle-east/,https://twitter.com/Finnovexlive
Conference,"Banking, Finance",Finnovex Middle East,19 Mar 2019,08:00 AM - 07:00 PM,,Mar-20,UAE,Dubai,The Address Dubai Marina,300,,https://finnovex.com/finnovexmiddleeast,+971 58 551 8437,info@exibex.com,"Middle East's Leading Summit Financial Services Innovation

Finnovex Middle East will discuss the roles of banking and non-banking institutions, financial organizations, investment firms, fintech companies, and other stakeholders in developing incentives to the paradigm shift in this sector.

https://finnovex.com/finnovexmiddleeast/#",,"Eligibility Criteria: Open to industry professionals
Fees: $637
Attendee Registration","Sponsorship opportunities available.
sponsorship@exibex.com",https://finnovex.com/finnovexmiddleeast/,https://www.youtube.com/channel/UCfxEoE4GycX1m7YeHdOZQXQ,,https://www.instagram.com/finnovex/,https://www.linkedin.com/showcase/finnovex-middle-east/,https://twitter.com/Finnovexlive
Trade Show & Conference,"Banking, Finance",BankTech Asia Kuala Lumpur,16 Jul 2019-17 Jul 2019,08:00 AM - 05:00 PM,24-25 Jul 2018,Jul-20,Malaysia,Kuala Lumpur,Kuala Lumpur Convention Centre,500,40,http://banktechasia.com,+603-2170 1588,info@banktechasia.com,"Leading Banking Technology Event in Asia

Marking its 11th year being the leading Banking Technology event in Asia for a decade now, BankTech Asia  Kuala Lumpur Regional Series returns in 2019 to offer the latest insights, innovations and solutions for the Banking and Fintech industry. 2018, we saw a wave of disruption sweep across the financial industry with regulators and incumbents from the region each responding with their own strategy to fintech and other disruptions.

http://banktechasia.com/11th-annual-kl/","iPayLinks,Comarch,TechData,SMEBank,ActiveOps,Giat,Stratus Technologies & NCR Corporation ,AlphaPayment,iexceed,Big Data Scoring,Luminous,Suitebox,HelloGold,ThreatMark,InstaReM,Netregy,Neteon Touch Solutions,Malaysia Debt Ventures,Kaspersky,TROY Group Inc.","Eligibility Criteria: Open to industry professionals
Fees: RM 3.199
Attendee Registration","Sponsorship Fees: Contact required for further information
Exhibitor Fees: Contact required for further information
Exhibitor Registration",http://banktechasia.com/shortcodes/gallery/,,https://www.facebook.com/BankTechAsia/,https://www.instagram.com/banktechasia/,https://www.linkedin.com/company/banktech-asia/,https://twitter.com/BankTechAsia
Conference,"Banking, Finance",Future of Financial Services Auckland,1 Aug 2019,09:00 AM - 06:00 PM,09-Aug-18,06-Aug-20,New Zealand,Auckland,Cordis Auckland,400,,https://fst.net.au/conferences/future-financial-services-auckland-2019,+61 2 8484 0687,tingl@fst.net.au,"New Zealand's only Technology in Financial Services Conference

This annual conference will once again bring together 400+ Technology, Innovation, Digital and Strategy executives from New Zealands leading financial services organisations to join in dynamic conversations around disruptive technology trends, digital innovation and the evolvoing financial markets ecosystem that are redefining strategic business operations for the industry.

https://fst.net.au/conferences/future-financial-services-auckland-2019",,"Eligibility Criteria: Open to industry professionals
Fees: Contact required for pricing information
Attendee Registration","Sponsorship opportunities available
MarkQ@fst.net.au",,,https://www.facebook.com/fstmedia/,,https://www.linkedin.com/company/fst-media/,https://twitter.com/FSTMedia
