Type of Event,Event Verticals,Name of Event,Dates,Hours,Date of Last Year's Event,Date of Next Year's Event,Country,City,Venue,# Atendees of Last Event,# Exhibitors of Last Event,URL,Phone Number,E-mail,About the Event,Exhibitors,Attendees,Exhibitor Info,Link to Photos,Link to Videos,Facebook,Instagram,Linkedin,Twitter
Trade Show & Conference,Advertising,Outdoor Advertising Convention,26 Jul 2019-27 Jul 2019,10:00 AM - 05:30 PM (26 Jul 2019)|10:30 AM - 05:00 PM (27 Jul 2019),27-28 Jul 2018,Jul-20,India,Mumbai,Renaissance Mumbai Convention Centre Hotel,2000,40,http://www.oacasia.org/,+91 9987961323,delegates@vjmediaworks.com,"Leading OOH Event in India

The 15th Edition  Outdoor Advertising Convention (OAC) 2019, titled OOH 2.0! The Revolution Begins Here, to be held at Renaissance Mumbai Convention Centre Hotel, Powai, Mumbai during July 26-27 this year, will bring all key stakeholders of the OOH industry on a common platform to deliberate upon the new business opportunities and chart a roadmap for accelerated OOH growth.

http://www.oacasia.org/webpage/convention","Enkon,Promoflex Display Systems,Jyoti Display Pvt Ltd,Xtreme Media,Moving Walls,Sinex,Origins Advertising Pvt Ltd,Indian Roar LLP,Can Image Media Tech,Garuda Advertising,4 MarTech Labs,Book My Show-ADS,Ninja Media Creations,LOCAD Ads Everywhere,EverGlow LED Display Systems,Ozone,LG Business Solutions","Eligibility Criteria: Open to industry professionals
Fees: Contact required for further information
Attendee Registration","Sponsorship Fees: No information
Exhibitor Fees: Contact required for further information
Exhibitor Registration",http://www.oacasia.org/,,https://www.facebook.com/OACOutdoorAsia/,https://www.instagram.com/oacoutdoorasia/,https://www.linkedin.com/in/oacoutdoorasia/?ppe=1,https://twitter.com/OACOutdoorAsia
Trade Show & Conference,Advertising,AEJMC Conference,7 Aug 2019-10 Aug 2019,08:00 AM - 06:30 PM,6-9 Aug 2018,Aug-20,Canada,Toronto,Sheraton Centre Toronto,,31,http://aejmc.org/events/toronto19/,+1 803 798 0271,aejmchq@aol.com,"Investing in Our Futures

AEJMC has the largest audience of journalism and mass communication educators at the college level, all in one location. Reach more than 2,400 educators and administrators over four days by exhibiting, advertising or sponsoring at our AEJMC Toronto, Canada, Conference, August 7-10, 2019. There are multiple avenues for exposure at the AEJMC Conference

http://aejmc.org/events/toronto19/","Joint Book Display,Palgrave Macmillan,TTU College of Media & Communication,Columbia University Press,The Poynter Institute,Boston University, Division of Emerging Media Studies,Wiley-Blackwell,Stukent,Provalis Research,Rowman and Littlefield,SAGE Publishing,Bedford/ St. Martins/ Macmillan Leaning,Oxford University Press,Native American Journalism Association,Routledge, Taylor and Francis Group,Rubin Education,Boston University, Division of Emerging Media Studies,AEJMC Lounge,BEA","Eligibility Criteria: Open to industry professionals
Fees: AEJMC member -  $265 USD
Non-member - $385
Student AEJMC member - $175
Non-member student - $195
Retired member - $150
Attendee Registraiton","Sponsorship Fees: Advertising packages vary between $250 - $5.075
Contact required for further sponsorship opportunities
Exhibitor Fees: Standard booth - $725
Digital booth - $1.950
Exhibitor Registration",,,https://www.facebook.com/AEJMC,https://www.instagram.com/aejmc/,,https://twitter.com/aejmc
Conference,Advertising,ANA Digital & Social Media Conference,24 Jul 2019-26 Jul 2019,02:00 PM - 09:00 PM (24 Jul 2019)|07:30 AM - 05:00 PM (25 Jul 2019)|07:30 AM - 12:00 PM (26 Jul 2019),25-27 Jul 2018,Jul-20,USA,San Diego,Hilton San Diego Bayfront,,,https://www.ana.net/conference/show/id/DSM-JUL19,+212 697 5950,bliodice@ana.net,"Annual Event to Discuss Digital and Social Media Issues

The digital and social media landscape continues to change at an unprecedented pace. Whats cutting-edge today may be pass tomorrow.  The 10th annual ANA Digital & Social Media Conference will feature top CMOs and key leaders who will cover important topics such as AI, influencer marketing, voice, social media, chatbots, content marketing, measurement, and more.

https://www.ana.net/conference/show/id/DSM-JUL19",,"Eligibility Criteria: Open to industry professionals
Fees: Vary between $1.199 - $1.499
Corporate packages vary from $1.999 to $2.299
Attendee Registration",,,,https://www.facebook.com/ANAmarketers/,https://www.instagram.com/anamarketers/,https://www.linkedin.com/company/association-of-national-advertisers,https://twitter.com/anamarketers
Conference,Advertising,Advertising Week APAC,29 Jul 2019-1 Aug 2019,07:30 AM - 06:00 PM,30 Jul-2 Aug 2018,Jul-Aug 2020,Australia,Sydney,Luna Park Sydney,4000,,http://apac.advertisingweek.com/,+1 212 967 0091,james@stillwellpartners.com,"A Global Gathering of Marketing & Communication Leaders

Advertising Week APAC will feature unique media, marketing, technology and creative perspectives discussing key business trends and issues, that shape todays global industry. By night, #AWAPAC plays host to organized networking events and world-class entertainment, making this event a one-of-a-kind experience.

http://apac.advertisingweek.com/about/#target=whatweare",,"Eligibility Criteria: Open to industry professionals
Fees: NGen Delegate - A$299
Delegate - A$599
Super Delegate - A$1.099
Platinum Delegate - A$1.499
Attendee Registration",,,https://www.youtube.com/channel/UCBslwYsXPwcqBOZlp7t56-A,https://www.facebook.com/AdvertisingWeekAPAC/,https://www.instagram.com/awapac_/,https://www.linkedin.com/company/advertising-week-apac/,https://twitter.com/AWAPAC_
Conference,Advertising,Advertising Week New York,23 Sep 2019-26 Sep 2019,08:00 AM - 06:00 PM,1-4 Oct 2018,Sep-Oct 2020,USA,New York,Hudson New York,98000,,http://newyork.advertisingweek.com/,+1 212 967 0091,james@stillwellpartners.com,"A Week of Thoughtful Conversations with Leaders from Marketing, Advertising and Technology

Advertising Week is a worldwide gathering of marketing, advertising, technology and brand professionals. From daytime seminars and workshops featuring some of the industrys brightest minds to organized networking and world-class entertainment, Advertising Week is a one-of-a-kind experience.

http://newyork.advertisingweek.com/about/#target=whatweare",,"Eligibility Criteria: Open to industry professionals
Fees: NewGen Delegate - $239
Delegate - $519
Super Delegate - $899
Platinum Delegate - $1.869
Attendee Registration",,,https://vimeo.com/294635205,https://www.facebook.com/advertisingweek,https://www.instagram.com/advertisingweek/,https://www.linkedin.com/company/advertising-week/,https://twitter.com/advertisingweek
Conference,Advertising,Advertising Week Latam,3 Mar 2020-5 Mar 2020,09:00 AM - 09:00 PM,19-21 Feb 2019,Feb-Mar 2021,Mexico,Mexico City,COLORs,4000,,http://latam.advertisingweek.com/,+1 212 967 0091,james@stillwellpartners.com,"A Global Gathering of Marketing & Communications Leaders

Advertising Week Latin America takes unique media, marketing, brand, technology and broader industry communities throughout Mexico, Central America, South America, and the Caribbean. During The Week, they focus in on key business trends, issues, and conversations that help to shape todays global industry.

http://latam.advertisingweek.com/about/#target=whatweare",,"Eligibility Criteria: Open to industry professionals
Fees: Delegate - MXN $2.340
Registration will be opened.",,,http://www.advertisingweek.com/events/lt/2018/,https://www.facebook.com/AdvertisingWeekLATAM/,https://www.instagram.com/awlatam_/,https://www.linkedin.com/company/awlatam/,https://twitter.com/AWLATAM_
Conference,Advertising,Advertising Week Europe,16 Mar 2020-19 Mar 2020,08:00 AM - 06:00 PM,18-21 Mar 2019,Mar-21,United Kingdom,London,Picturehouse Central,35206,,http://europe.advertisingweek.com/,,james@stillwellpartners.com,"A Global Gathering of Marketing & Communications Leaders

Advertising Week Europe featured unique media, marketing, technology and creative perspectives discussing key business trends and issues, that shape todays global industry. By night, #AWEurope played host to organized networking events and world-class entertainment, making this event a one-of-a-kind experience.

http://europe.advertisingweek.com/about/#target=whatweare",,"Eligibility Criteria: Open to industry professionals
Fees: NewGen - 269
Delegate - 624
Super Delegate - 1.061
Platinum Delegate - 2.499
Registration will be opened.",,,http://www.advertisingweek.com/events/eu/2018/,https://www.facebook.com/AdvertisingWeekEurope/,https://www.instagram.com/AWEurope_/,https://www.linkedin.com/company/aweurope/,https://twitter.com/AWEurope_
Conference,Advertising,Advertising Week Asia,28 May 2019-30 May 2019,09:00 AM - 07:00 PM,14-17 May 2018,May-20,Japan,Tokyo,Tokyo Midtown,13174,,http://asia.advertisingweek.com/,+1 212 967 0091,james@stillwellpartners.com,"A Global Gathering of Marketing & Communication Leaders

Advertising Week is a worldwide gathering of marketing, advertising, technology and brand professionals. From daytime seminars and workshops featuring some of the industrys brightest minds to organized networking and world-class entertainment, Advertising Week is a one-of-a-kind experience.

http://asia.advertisingweek.com/about/
#target=whatweare",,"Eligibilityi Criteria: Open to industry professionals
Fees: Freshman Delegate - 10.000
Delegate - 50.000
Super Delegate - 70.000
Registration will be opened.
Attendee Registration",,,http://www.advertisingweek.com/events/as/2018/,https://www.facebook.com/AdvertisingWeekAsia/,https://www.instagram.com/awasia_/,https://www.linkedin.com/company/advertising-week-asia/,https://twitter.com/AWAsia_
Trade Show & Conference,Advertising,Digital Marketing World Forum Global,23 May 2019-24 May 2019,09:00 AM - 06:00 PM,16-17 Apr 2018,,United Kingdom,London,Business Design Centre,1200,60,https://www.digitalmarketing-conference.com/global/,+44 117 973 2353,hello@dmwf.co,"Learn Valuable Solutions, Be Inspired and Meet the Leaders in the Digital Marketing Ecosystem

Explore the latest trends & strategies within Digital Marketing and covering: Digital Marketing Technologies, Content Marketing, Influencer Marketing, Data, Analytics, Mobile, UX, CX, eCommerce, Digital Transformation, SEO, Video & Live content, Machine Learning and AI, Personalisation, Interest-based Advertisements, Voice Search, Chatbot and Blockchain.

https://www.digitalmarketing-conference.com/global/why-attend-dmwf/","Lobster,Infinity,Fifth & Blue,Vertical Leap,Content Square,Publishers Toolbox,Free Bird Film,Nucco Brain,Taboola,Sprinklr,Rix Digital,Statista,Builtvisible,Personify XP,Say It Right,Sportskred,Reflect Digital,Digital Streamers,Morphosis,Khoros","Eligibility Criteria: Open to industry professionals
Fees: One day - 495
Two days - 899
Attendee Registration","Sponsorship Fees: Contact required for further information
Exhibitor Fees: Contact required for further information
Exhibitor Registration",https://www.digitalmarketing-conference.com/global/photo-gallery/,https://www.youtube.com/channel/UCtmCaNGQow8oW43IMgnLrkQ,https://www.facebook.com/DigiMarketingWF,https://www.instagram.com/dmwfconference/,https://www.linkedin.com/groups/1161997/,https://twitter.com/DigiMarketingWF
Trade Show & Conference,Advertising,Digital Marketing World Forum North America,11 Sep 2019-12 Sep 2019,09:00 AM - 06:00 PM,7-8 Nov 2018,TBA,USA,New York,Brooklyn Expo Center,1000,50,https://www.digitalmarketing-conference.com/northamerica/#,+44 117 973 2353,hello@dmwf.co,"Exploring The Future of Digital Marketing Technologies

With a 10+ year history of bringing together the worldwide digital marketing community to tackle the challenges that the digital future presents. Delivering 2 days of top-level strategic content and digital marketing insights, networking, and discussion from leading global brands.

https://www.digitalmarketing-conference.com/northamerica/","Shutterstock,Isobar,InfluencerDB,Talkwalker,Crabbr,Verb,SocialPubli.com,Clientscape,Mobilewalla,Brandwatch","Eligibility Criteria: Open to industry professionals
Fees: Advance rate
One day - $465
Two days - $849
After 30 Aug 2019, midnight
One day - $495
Two days - $899
On 11 Sep 2019
One day - $549
Two days - $999
Attendee Registration","Sponsorship Fees: Contact required for further information
Exhibitor Fees: Contact required for further information
Exhibitor Registration",,,https://www.facebook.com/DigiMarketingWF/,https://www.instagram.com/dmwfconference/,https://www.linkedin.com/groups/1161997/,https://twitter.com/DigiMarketingWF
