Type of Event,Event Verticals,Name of Event,Dates,Hours,Date of Last Year's Event,Date of Next Year's Event,Country,City,Venue,# Atendees of Last Event,# Exhibitors of Last Event,URL,Phone Number,E-mail,About the Event,Exhibitors,Attendees,Exhibitor Info,Link to Photos,Link to Videos,Facebook,Instagram,Linkedin,Twitter
Trade Show,"Baby, Children, Maternity",Children Baby Maternity Expo,24 Jul 2019-26 Jul 2019,9:00 AM - 5:00 PM (24 Jul 2019-25 Jul 2019)|9:00 AM - 3:00 PM (26 Jul 2019),25-27 Jul 2018,Jul-20,China,Shanghai,National Convention & Exhibition Center,90000,3300,https://www.cbmexpo.com/en,+86 21 6157 7288,cbmexpo@cbmexpo.com,"World's Largest Exhibition for Child Baby Maternity Products and Services

CBME China is the world's largest trade fair for child, baby and maternity products & services. This is the perfect venue for you to meet buyers, manufacturers, distributors, and suppliers in the industry from all over the world. The fair is highlighted by an innovative products award where the most innovative and best products in different categories are determined. Primary buyers have the chance to participate in a private buyer meeting.

https://www.cbmexpo.com/en/article.php?id=128","Shanghai Buono Trade Co.,LTD,Muyingfang,Suzhou Checkmate Trading.,Co Ltd,Liaocheng Haojiayi Dairy Co.,Ltd,Shenzhen bangxing Rubber technology Co,Let,Shanghai Chuncui Foods,Taizhou Huangyan New Version Industry & trading Co., Ltd,Hebei Shengxu Food Co., Ltd.,Sanhe JuYangJiPin Trading Co.,Ltd,Anyang Sheng Tuan Garment Co., Ltd.,Cangnan Youbei Garment Co. Ltd.,Shanghai Fanzhi Trading Co. Ltd.,Xuzhou Zhengwu Trading Co., Ltd,Gao Lin Business Shenzhen Co., Ltd.,Henan Yeesain Health Technology Co., Ltd,Sunflower,Johnson& Johnson,J-Tex Group Ltd.,Beijing Yunqing Technology Co., Ltd.,AeroSleep","Eligibility Criteria: Open to industry professionals and trade visitors
Fees: Free
Attendee Registration","Sponsorship Fees: No info
Exhibitor Fees: One side open booth (15 sq m) - $4.065
Two sides open (15 sq m) - $4.110
Exhibitor Registration",,https://www.youtube.com/channel/UCRZopivDcAIjTZ64AgouVQg,https://www.facebook.com/CBMEXPO,https://www.instagram.com/cbmechina/,https://www.linkedin.com/company/cool-kids-fashion-shanghai/about/,https://twitter.com/OfficialCBME
Trade Show & Conference,"Baby, Children, Maternity",Kind + Jugend,19 Sep 2019-22 Sep 2019,09:00 AM - 06:00 PM (19 Sep 2019-21 Sep 2019)|09:00 AM - 04:00 PM (22 Sep 2019),20-23 Sep 2018,Sep-20,Germany,Cologne,Koelnmesse GmbH,24874,1239,https://www.kindundjugend.com/,+49 180 6 117017,kindundjugend@visitor.koelnmesse.de,"The international leading trade fair for premium baby and toddler products

The international leading trade fair for premium baby and toddler products presents itself since 2017 even bigger: wth six exhibition halls covering around 110,000 m, there has never before been so much to see in Kind + Jugend.

https://www.kindundjugend.com/fair/kind-und-jugend-2019/kind-und-jugend-2019.php","Hangzhou Xiangrong Textiles Co., Ltd.,&ME,3 Sprouts,7 A.M. Enfant, Inc.,ABC Design GmbH,Ador Group (HK) Limited,Alpine Nederland B.V.,Anna und Paul GmbH,Opus Innovations Ltd,Edwards & Co,Easywalker B.V.,Status Products Ltd,Master Baby Home, S.L.,Drgerwerk AG & Co. KGaA,HABA Habermaass GmbH,Gorfion GmbH,Schardt GmbH & Co. KG,Schmidt Spiele GmbH,Twistshake of Sweden AB,Baby Tula","Eligiblity Criteria: Open to industry professionals and trade visitors
Fees: Day ticket - Online 18, Box office 28
2-day ticket - Online 25, Box office 39
Season ticket - Online 39, Box office 58
Attendee Registration","Sponsorship Fees: Contact required for pricing information
Exhibitor Fees: 9 sq m stand prices vary from 15.888 to 18.988
Exhibitor Registration",https://www.kindundjugend.com/news/content-for-media-representatives/image-database/bildmaterial-85.php,https://www.youtube.com/channel/UCvtnDrABcwe4t04ljnVKAGg,https://www.facebook.com/kindundjugend,https://www.instagram.com/kindundjugend/,,https://twitter.com/kindundjugend
Trade Show & Conference,"Baby, Children, Maternity",China Kids Expo,16 Oct 2019-18 Oct 2019,09:00 AM - 06:00 PM,16-18 Oct 2018,Oct-20,China,Shanghai,Shanghai New International Expo Centre,71819,2023,https://en.china-kids-expo.com/,+86 10 6950 7766 Ext.767,mark.chang@koelnmesse.cn,"Asia's leading B2B event for the baby industry

China Kids Expo (CKE), organized by China Toy & Juvenile Products Association (CTJPA) and Koelnmesse China, is Asia's leading trade fair for toy & baby product. Held annually since 2011 in Shanghai, CKE is the must- attend event that unites innovative products, industry trend, export-oriented manufactures, and comprehensive sourcing visitor. It is the best way to get full insights about China Baby Product industry and build connection with new business partners in China.

https://en.china-kids-expo.com/index.php?m=content&c=index&a=lists&catid=82","Fisher Price,Quinny,Chicco,Cybex,Maxi Cosi,Goodbaby Child Products Co. Ltd.,Cixi Kalli Cart Industry Co. Ltd.,Britax,Combi,Bair Kids Neccessities Co. Ltd.,Osk Baby & Chidlren Products Co. Ltd.,Ningbo INF Baby Product Co., Ltd.,Joie Children's Products China Co., Ltd.,Le Jour Co.,Ltd.,Jakobs GmbH,Pumpkin Organics,Jellycat Ltd,DIW Co Ltd,Hubei Little Sun Baby Products Co Ltd ,Ador Group Co.,Ltd","Eligibility Criteria: Open to industry professionals
Fees: Free
Attendee Registration","Sponsorship Fees: Catalogue Ad (1 Full page 4 C) - 280
Exhibitor Fees: Space only (min. 48 sq m) - 210/sq m
Premium shell scheme (min. 12 sq m) - 290/sq m
Exhibitor Registration",https://en.china-kids-expo.com/html/index_PressCenter/photoGallery/2017/,,https://www.facebook.com/kidsexpochina/,,https://www.linkedin.com/showcase/china-kids-expo/,https://twitter.com/ChinaKidsExpo
Trade Show & Conference,"Baby, Children, Maternity",Pregnancy & Baby Fair,5 Oct 2019-6 Oct 2019,10:00 AM - 05:00 PM,06-07 Apr 2019,Apr-20,Ireland,Dublin,RDS Simmonscourt,20000,500,https://www.pregnancyandbabyfair.ie/,,info@pregnancyandbabyfair.ie,"Ireland's biggest, best and only exhibition covering all things pregnancy & baby related

Pregnancy & Baby Fair Dublin is an exhibition covering all things pregnancy & baby related. We have gathered the world biggest baby brands under one roof as well as Ireland's leading retailers and product specialists. In addition, we also have Ireland's top pregnancy & baby professionals ready to give the attendees the best and latest advice and address any concerns or questions they might have about this exciting yet daunting time of life.

https://www.pregnancyandbabyfair.ie/about/","Forever Living,Mumbra,John Magory,Baby Moments,Snugglebundi,Wheelkidz,Poddlepod,Barnardos,Decare Dental,Johnson's Baby,Michael Guineys,Hayfield Manor,Hippy Chick,Sonnybear,Pip and Bear,Cocoon Childcare,Pretty Bowtique,Lulu & Levi,Dainty Bear,Baby Bedibies","Eligibility Criteria: Open to industry professionals and end users
Fees: Starts from 15.86
Attendee Registration","Sponsorship Fees: No info
Exhibitor Fees: Contact required for further information",https://www.pregnancyandbabyfair.ie/gallery/,https://www.pregnancyandbabyfair.ie/gallery/,https://www.facebook.com/IrelandsPregnancyAndBabyFair/,https://www.instagram.com/pregnancyandbabyfair/,,
Trade Show & Conference,"Baby, Children, Maternity",Young Child Expo & Conference,28 Apr 2020-1 May 2020,07:00 AM - 05:00 PM,30 Apr-03 May 2019,Apr-May 2021,USA,New York City,The New Yorker A Wyndham Hotel,1200,40,https://www.youngchildexpo.com,+1 212 787 9700 Ext. 333,nancy.evangelista@losninos.com,"To help in Growth of young Children

The Young Child Expo & Conference began in 2003 as a joint professional development project of Fordham University's Graduate School of Education and Los Nios Services. Our goal is simple  to provide useful information to professionals and parents in order to help all young children learn, grow and reach their full potential.

https://www.youngchildexpo.com/about","New York Center for Child Development ,Independent Feeding Tray, Inc,Bilingual Birdies,Autism Early Enrichment Services, LLC,Discount School Supply,Los Nios Training,Kids Peace,Mercy College,Smithsonian Early Enrichment Center,Profectum Foundation,Deep Play for Kids,New York Therapy Placement Services, Inc,GoNoodle,TheraCare of New York,WNET,Judge Rotenberg Educational Center,Birch Family Services,Community Playthings,Discount School Supply,Achieve Beyond","Eligibility Criteria: Open to industry professionals and parents
Fees: Early Bid Rate
1 day - $185, 2 days -$285, 3 days - $385
Regular Professional Rate
1 day - $235, 2 days - $335, 3 days - $435
Student/Parent
1 day - $160, 2 days - $260, 3 days - $360
Attendee Registration","Sponsorship Fees: Contact required for pricing information
Exhibitor Fees: Contact required for pricing information
Exhibitor Registration",https://www.youngchildexpo.com/gallery,,https://www.facebook.com/youngchildexpo/,https://www.instagram.com/youngchildexpo/,,https://twitter.com/youngchildexpo?lang=en
Conference,"Baby, Children, Maternity",National Kindergarten Conference,8 July 2019-12 July 2019,09:00 AM-06:00 PM,9-13 Jul 2018,Jul-20,USA,Las Vegas,The Venetian,5500,,http://www.cvent.com/events/sde-2019-national-conference/event-summary-084bce35e5224e0c8876572e98ad457a.aspx,,schristensen@sde.com,"Personlize Your Learning Path

Get exclusive access to 100+ education experts sharing their research, practical strategies, and inspiration. Return to your classroom more prepared (and more joyful!) than ever before to make a positive impact on student learning. In Las Vegas, you'll join 5,500+ PreK-12 educators from around the U.S. and the world and create your personalized agenda from 400+ sessions in five different grade- and topic-focused strands.

http://www.cvent.com/events/sde-2019-national-conference/custom-132-084bce35e5224e0c8876572e98ad457a.aspx",,"Eligibility Criteria: Open to children education professionals
Fees: 2-Day Pass - $529
3-Day Pass - $629
4-Day Pass - $679
Attendee Registration",,,,https://www.facebook.com/SDE4Educators,,https://www.linkedin.com/groups/4366173/,https://twitter.com/SDE4educators
Conference,"Baby, Children, Maternity",Infectious Diseases in Children,23 Nov 2019-24 Nov 2019,09:00 AM-06:00 PM,17-18 Nov 2018,Nov-20,USA,New York City,Sheraton New York Times Square Hotel,1000,,https://www.healio.com/meeting/idcnewyork/home,+1 856 848 1712 Ext.219 or Ext. 476,registration@contactAMS.com,"Gain the experience and knowledge of 20 leading specialists

The program has been carefully crafted to take an in-depth look at the latest updates and advances to enhance your expertise on both common and emerging pediatric infectious diseases. It offers renowned faculty to provide perspective on the areas that need more of your attention this year. Come prepared with questions and get immediate feedback as you interact with faculty and peers for two consecutive days.

https://www.healio.com/meeting/idcnewyork/program/cme-overview",,"Eligibility Criteria: Open to industry professionals
Fees: Early-bird Rate
Physician - $560, Physician Assistant/ Nurse/Resident - $400
Pre-reg Rate
Physician - $660, Physician Assistant/ Nurse/Resident - $500
Standard Rate
Physician - $760, Physician Assistant/ Nurse/Resident - $600
Group Rate  3+ Attendees (1 Physician (required) and 2+ Nurses or Resident/Students)
Physician - $560 by 7/31/19 - $660 by 9/30/19 - $760 by 11/18/19, Physician Assistant/ Nurse/Resident - $300 by 11/18/19
Attendee Registration",,,,,,,https://twitter.com/idcnewyork
Trade Show & Conference,"Baby, Children, Maternity",Mommy & Baby Fair,26 Jul 2019-28 Jul 2019,10:00 AM - 06:00 PM (26 Jul 2019-27 Jul 2019)|10:00 AM - 05:00 PM (28 Jul 2019),,Jul 2020 (expected),India,New Delhi,Pragati Maidan,,,https://mommybabyfair.com/,+91 9999935011,info@tulip3pmedia.in,"A B2B Show for Maternity, Baby & Kids

The 1st edition of Mommy & Baby Fair will be launched on 26  28 July 2019, at Hall 7, Pragati Maidan, New Delhi. Mommy & Baby fair is an international B2B platform which provides the global exhibitors with the opportunities to enter into the highly growing Indian market and explore the unmet demands of the industry.

https://mommybabyfair.com/","U-Grow,SpeCtra,Chinmay Kids,Timios,Unicharm,Azafran,Green Gold,Clifton Export,Rama Visiton Limited,JHS,The Moms Co.,Medela,Cussons Baby,QPlay,Woo Woo,Arete,Smily Kiddos,Mimmo Organics,Green Toys","Eligibility Criteria: Open to industry professionals and trade visitors
Fees: Free
Attendee Registration","Sponsorship Fees: Contact required for pricing information
Exhibitor Fees: Shell scheme (9 sq m) - 108.000 INR
Exhibitor Registration",,,https://www.facebook.com/Mommy-Baby-Fair-2019-2047288608867467/,,https://www.linkedin.com/company/mommy-baby-fair/,https://twitter.com/MBF_Exhibition
Trade Show & Conference,"Baby, Children, Maternity",Playworld Village,9 Mar 2020-11 Mar 2020,10:00 AM - 6:00 PM,27 Feb-01 Mar 2018,Feb-Mar 2021,UAE,Dubai,Dubai World Trade Centre,6908,305,https://paperworld-middle-east.ae.messefrankfurt.com/dubai/en.html,+971 4 389 4500,paperworld@uae.messefrankfurt.com,"A great platform to enter the Middle East market for toys, games and children's lifestyle

Connect with leading manufacturers and suppliers, discover the latest trends and canvas an exciting variety of creative solutions for your marketing and office needs. In addition to a dedicated segment for corporate gifts and premiums, Paperworld Middle East is also home to the region's leading platform for children's toys and games, Playworld Village (formerly Playworld Middle East).

https://paperworld-middle-east.ae.messefrankfurt.com/dubai/en/facts-figures.html","Brevillier Urban & Sachs,Calidad,Capital Envelopes,Elbon International,Hamelin GmbH,Max Bringmann KG,Mitsubishi Pencil Co. Ltd.,Dollar Industries,TCC Marketing Co. Ltd.,The Patch Wood Co. Ltd.,Shangdong Beinali Toy Co. Ltd.,Shepherd Co. Ltd.,Sunrise Co. Ltd.,Pun Pun Playground Toys Co. Ltd.,Shandong  Beinali Toy Co. Ltd.,Lucky Child JSC,Luxor International Pvt. Ltd.,Rainbow Max,Reveal Industries,Kores GmbH","Eligibility Criteria: Open to industry professionals and trade visitors
Fees: Free
Attendee Registration","Sponsorship Fees: Contact required for further information
Exhibitor Fees: Raw pace - from $435/sq m
Exhibitor Registration",https://paperworld-middle-east.ae.messefrankfurt.com/dubai/en/press/image-material.html,https://www.youtube.com/channel/UCjVhr3PIIVjwZmtr3Mok7IA,https://www.facebook.com/paperworldMEA,https://www.instagram.com/paperworldMEA/,https://www.linkedin.com/company/paperworldmea/about/,https://twitter.com/paperworldMEA
Trade Show,"Baby, Children, Maternity",Asian Toys and Baby Products Show,20 Oct 2019-23 Oct 2019,09:30 AM - 06:00 PM,20-23 Oct 2018,20-23 2020,Hong Kong,Hong Kong,Hong Kong Convention and Exhibition Centre,38900,455,https://www.asiantnb.com/en-index.php,+852 2700 6726,cs@comasia.com.hk,"The Key Showcase and Sourcing Hub for Asian Toys, Games and Baby Products

Asian Toys & Baby Products Show takes place over four days during the late October at the Hong Kong Convention and Exhibition Centre. The show dates that coincide with the autumn peak sourcing timeslot make it become a regular fixture of the autumn Southern China sourcing circuit for global buyers.

https://www.asiantnb.com/en-show-intro.php","Aida Tech Limited,Easco Toys International Ltd.,Elsa Toy International Limited,Gil Asia Limited,Matzu-E Toys Limited,Mary's Lab,Maxitronix Educational Company Limited,Vipo Technology Limited,Hangzhou Huanyu Toys Co., Ltd.,International Compliance Workshop Limited,Kai Hing Industrial Limited,Kelly Toys Co., Limited,Linbo Hongkong Limited,Senco International Limited,Feilong Plastic Industry (HK) Ltd.,D.J. Toys Enterprise Corp.,Donerland Co., Ltd.,Haichang International Company,Nantong Best-Today International Group.,Zhangping TK Toys And Gifts Co., Ltd.","Eligibility Criteria: Open to industry professionals and trade visitors
Fees: Contact required for pricing information
Attendee Registration","Sponsorship Fees: No info
Exhibitor Fees: Contact required for pricing information
Exhibitor Registration",,https://www.asiantnb.com/en-show-video.php,https://www.facebook.com/asiantnb/,https://www.instagram.com/asiantnb/,,https://twitter.com/asian_tnb
